code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
ACB,2025-12-12,15:12:03,HOSE,STOCK,23.95,25.6,22.3,24.05,24.1,23.5,23.5,23.746,24.05,24.1,23.5,23.5,23.746,13924900.0,330658675000.0,663000.0,15530200000.0,-0.45,-0.45,-1.8789
ACB,2025-12-11,15:12:04,HOSE,STOCK,24.1,25.75,22.45,24.25,24.25,23.95,23.95,24.062,24.25,24.25,23.95,23.95,24.062,7525800.0,181083310000.0,0.0,0.0,-0.15,-0.15,-0.6224
ACB,2025-12-10,15:12:07,HOSE,STOCK,24.1,25.75,22.45,24.15,24.3,24.05,24.1,24.177,24.15,24.3,24.05,24.1,24.177,5460100.0,132010165000.0,0.0,0.0,0.0,0.0,0.0
ACB,2025-12-09,15:12:04,HOSE,STOCK,24.2,25.85,22.55,24.2,24.25,24.0,24.1,24.069,24.2,24.25,24.0,24.1,24.069,11326500.0,272617815000.0,1600000.0,36960000000.0,-0.1,-0.1,-0.4132
ACB,2025-12-08,15:12:04,HOSE,STOCK,24.35,26.05,22.65,24.25,24.45,24.2,24.2,24.285,24.25,24.45,24.2,24.2,24.285,4935600.0,119861910000.0,0.0,0.0,-0.15,-0.15,-0.616
ACB,2025-12-05,15:12:03,HOSE,STOCK,24.9,26.6,23.2,24.9,25.0,24.35,24.35,24.564,24.9,25.0,24.35,24.35,24.564,8994300.0,220933300000.0,0.0,0.0,-0.55,-0.55,-2.2088
ACB,2025-12-04,15:12:03,HOSE,STOCK,24.45,26.15,22.75,24.55,25.0,24.5,24.9,24.817,24.55,25.0,24.5,24.9,24.817,12219800.0,303261230000.0,250000.0,6204250000.0,0.45,0.45,1.8405
ACB,2025-12-03,15:12:04,HOSE,STOCK,23.95,25.6,22.3,24.0,24.55,24.0,24.45,24.36,24.0,24.55,24.0,24.45,24.36,16051700.0,391016045000.0,360000.0,8850240000.0,0.5,0.5,2.0877
ACB,2025-12-02,15:12:03,HOSE,STOCK,24.0,25.65,22.35,24.05,24.15,23.85,23.95,23.948,24.05,24.15,23.85,23.95,23.948,15503200.0,371274900000.0,1000000.0,22985000000.0,-0.05,-0.05,-0.2083
ACB,2025-12-01,15:12:03,HOSE,STOCK,24.25,25.9,22.6,24.3,24.35,24.0,24.0,24.125,24.3,24.35,24.0,24.0,24.125,9243000.0,222989360000.0,7800000.0,177030000000.0,-0.25,-0.25,-1.0309
ACB,2025-11-28,15:11:04,HOSE,STOCK,24.35,26.05,22.65,24.35,24.45,24.25,24.25,24.313,24.35,24.45,24.25,24.25,24.313,5358800.0,130287680000.0,300000.0,7305000000.0,-0.1,-0.1,-0.4107
ACB,2025-11-27,15:11:05,HOSE,STOCK,24.2,25.85,22.55,24.45,24.5,24.3,24.35,24.369,24.45,24.5,24.3,24.35,24.369,7791600.0,189874385000.0,0.0,0.0,0.15,0.15,0.6198
ACB,2025-11-26,15:11:03,HOSE,STOCK,24.2,25.85,22.55,24.2,24.4,24.15,24.2,24.271,24.2,24.4,24.15,24.2,24.271,9003200.0,218519250000.0,0.0,0.0,0.0,0.0,0.0
ACB,2025-11-25,15:11:04,HOSE,STOCK,24.6,26.3,22.9,24.65,24.7,24.1,24.2,24.302,24.65,24.7,24.1,24.2,24.302,15856700.0,385343610000.0,0.0,0.0,-0.4,-0.4,-1.626
ACB,2025-11-24,15:11:03,HOSE,STOCK,24.7,26.4,23.0,24.7,24.85,24.6,24.6,24.658,24.7,24.85,24.6,24.6,24.658,7081700.0,174617545000.0,0.0,0.0,-0.1,-0.1,-0.4049
ACB,2025-11-21,15:11:04,HOSE,STOCK,24.8,26.5,23.1,24.75,24.85,24.6,24.7,24.692,24.75,24.85,24.6,24.7,24.692,7299200.0,180228855000.0,0.0,0.0,-0.1,-0.1,-0.4032
ACB,2025-11-20,15:11:03,HOSE,STOCK,24.9,26.6,23.2,25.0,25.0,24.8,24.8,24.861,25.0,25.0,24.8,24.8,24.861,6153200.0,152976105000.0,0.0,0.0,-0.1,-0.1,-0.4016
ACB,2025-11-19,15:11:03,HOSE,STOCK,25.1,26.85,23.35,25.15,25.15,24.85,24.9,24.978,25.15,25.15,24.85,24.9,24.978,5994400.0,149728925000.0,0.0,0.0,-0.2,-0.2,-0.7968
ACB,2025-11-18,15:11:03,HOSE,STOCK,25.15,26.9,23.4,25.2,25.4,25.05,25.1,25.173,25.2,25.4,25.05,25.1,25.173,6387000.0,160780030000.0,1.0,23400.0,-0.05,-0.05,-0.1988
ACB,2025-11-17,15:11:03,HOSE,STOCK,24.95,26.65,23.25,25.0,25.15,24.95,25.15,25.048,25.0,25.15,24.95,25.15,25.048,3945100.0,98816990000.0,1046403.0,26210296950.0,0.2,0.2,0.8016
ACB,2025-11-14,15:11:05,HOSE,STOCK,25.1,26.85,23.35,25.1,25.1,24.9,24.95,24.977,25.1,25.1,24.9,24.95,24.977,6763400.0,168930780000.0,901001.0,22290873350.0,-0.15,-0.15,-0.5976
ACB,2025-11-13,15:11:04,HOSE,STOCK,25.2,26.95,23.45,25.2,25.2,25.0,25.1,25.112,25.2,25.2,25.0,25.1,25.112,5637200.0,141561635000.0,260001.0,6520563450.0,-0.1,-0.1,-0.3968
ACB,2025-11-12,15:11:03,HOSE,STOCK,24.85,26.55,23.15,25.0,25.2,24.8,25.2,24.977,25.0,25.2,24.8,25.2,24.977,6319100.0,157829995000.0,810000.0,20383500000.0,0.35,0.35,1.4085
ACB,2025-11-11,15:11:04,HOSE,STOCK,24.8,26.5,23.1,24.85,25.05,24.8,24.85,24.875,24.85,25.05,24.8,24.85,24.875,6962300.0,173189670000.0,900002.0,23850046200.0,0.05,0.05,0.2016
ACB,2025-11-10,15:11:03,HOSE,STOCK,24.9,26.6,23.2,24.9,25.2,24.7,24.8,24.895,24.9,25.2,24.7,24.8,24.895,7222900.0,179812110000.0,290000.0,7424000000.0,-0.1,-0.1,-0.4016
ACB,2025-11-07,15:11:03,HOSE,STOCK,25.3,27.05,23.55,25.25,25.3,24.85,24.9,25.075,25.25,25.3,24.85,24.9,25.075,12107200.0,303590940000.0,2925601.0,73340943550.0,-0.4,-0.4,-1.581
ACB,2025-11-06,15:11:03,HOSE,STOCK,25.6,27.35,23.85,25.55,25.7,25.3,25.3,25.441,25.55,25.7,25.3,25.3,25.441,6525200.0,166005025000.0,310001.0,7946783850.0,-0.3,-0.3,-1.1719
ACB,2025-11-05,15:11:02,HOSE,STOCK,26.0,27.8,24.2,25.8,25.9,25.55,25.6,25.691,25.8,25.9,25.55,25.6,25.691,6212200.0,159599030000.0,4102000.0,104311702400.0,-0.4,-0.4,-1.5385
