code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
BID,2025-12-12,15:12:02,HOSE,STOCK,37.6,40.2,35.0,37.7,37.7,37.0,37.0,37.244,37.7,37.7,37.0,37.0,37.244,1877500.0,69924915000.0,0.0,0.0,-0.6,-0.6,-1.5957
BID,2025-12-11,15:12:03,HOSE,STOCK,37.7,40.3,35.1,37.7,38.1,37.6,37.6,37.805,37.7,38.1,37.6,37.6,37.805,1133200.0,42840180000.0,12.0,421200.0,-0.1,-0.1,-0.2653
BID,2025-12-10,15:12:04,HOSE,STOCK,37.45,40.05,34.85,37.5,37.9,37.45,37.7,37.729,37.5,37.9,37.45,37.7,37.729,1904100.0,71839170000.0,0.0,0.0,0.25,0.25,0.6676
BID,2025-12-09,15:12:02,HOSE,STOCK,37.5,40.1,34.9,37.5,37.95,37.1,37.45,37.418,37.5,37.95,37.1,37.45,37.418,3264300.0,122143690000.0,14.0,488600.0,-0.05,-0.05,-0.1333
BID,2025-12-08,15:12:02,HOSE,STOCK,37.8,40.4,35.2,37.8,37.95,37.45,37.5,37.655,37.8,37.95,37.45,37.5,37.655,1702000.0,64088425000.0,6.0,211200.0,-0.3,-0.3,-0.7937
BID,2025-12-05,15:12:02,HOSE,STOCK,38.2,40.85,35.55,38.3,38.45,37.8,37.8,38.107,38.3,38.45,37.8,37.8,38.107,1626100.0,61965750000.0,0.0,0.0,-0.4,-0.4,-1.0471
BID,2025-12-04,15:12:02,HOSE,STOCK,38.4,41.05,35.75,38.5,38.55,38.05,38.2,38.334,38.5,38.55,38.05,38.2,38.334,2052100.0,78665695000.0,0.0,0.0,-0.2,-0.2,-0.5208
BID,2025-12-03,15:12:03,HOSE,STOCK,36.85,39.4,34.3,37.0,38.45,37.0,38.4,37.935,37.0,38.45,37.0,38.4,37.935,4011700.0,152185040000.0,9.0,308700.0,1.55,1.55,4.2062
BID,2025-12-02,15:12:02,HOSE,STOCK,36.95,39.5,34.4,36.95,37.05,36.65,36.85,36.817,36.95,37.05,36.65,36.85,36.817,1590300.0,58549385000.0,2.0,68800.0,-0.1,-0.1,-0.2706
BID,2025-12-01,15:12:02,HOSE,STOCK,37.1,39.65,34.55,37.2,37.3,36.95,36.95,37.054,37.2,37.3,36.95,36.95,37.054,1458900.0,54057415000.0,2.0,69100.0,-0.15,-0.15,-0.4043
BID,2025-11-28,15:11:02,HOSE,STOCK,37.55,40.15,34.95,37.55,37.6,37.1,37.1,37.247,37.55,37.6,37.1,37.1,37.247,878600.0,32725335000.0,7.0,244650.0,-0.45,-0.45,-1.1984
BID,2025-11-27,15:11:03,HOSE,STOCK,37.35,39.95,34.75,37.45,37.7,37.3,37.55,37.467,37.45,37.7,37.3,37.55,37.467,1071300.0,40138185000.0,7.0,243250.0,0.2,0.2,0.5355
BID,2025-11-26,15:11:02,HOSE,STOCK,37.0,39.55,34.45,37.05,37.55,37.05,37.35,37.287,37.05,37.55,37.05,37.35,37.287,1237300.0,46135750000.0,5.0,172250.0,0.35,0.35,0.9459
BID,2025-11-25,15:11:02,HOSE,STOCK,37.65,40.25,35.05,37.8,37.8,37.0,37.0,37.365,37.8,37.8,37.0,37.0,37.365,1798100.0,67185495000.0,9.0,315450.0,-0.65,-0.65,-1.7264
