code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
BVH,2025-12-12,15:12:03,HOSE,STOCK,54.6,58.4,50.8,54.6,54.8,52.0,52.0,53.177,54.6,54.8,52.0,52.0,53.177,578300.0,30752080000.0,0.0,0.0,-2.6,-2.6,-4.7619
BVH,2025-12-11,15:12:04,HOSE,STOCK,54.3,58.1,50.5,54.2,55.3,53.4,54.6,54.566,54.2,55.3,53.4,54.6,54.566,501000.0,27337420000.0,0.0,0.0,0.3,0.3,0.5525
BVH,2025-12-10,15:12:07,HOSE,STOCK,55.0,58.8,51.2,55.4,55.4,53.1,54.3,53.851,55.4,55.4,53.1,54.3,53.851,554800.0,29876300000.0,0.0,0.0,-0.7,-0.7,-1.2727
BVH,2025-12-09,15:12:04,HOSE,STOCK,55.6,59.4,51.8,56.5,57.0,54.2,55.0,55.366,56.5,57.0,54.2,55.0,55.366,855400.0,47360000000.0,0.0,0.0,-0.6,-0.6,-1.0791
BVH,2025-12-08,15:12:04,HOSE,STOCK,52.0,55.6,48.4,52.0,55.6,52.0,55.6,54.542,52.0,55.6,52.0,55.6,54.542,1282300.0,69938730000.0,0.0,0.0,3.6,3.6,6.9231
BVH,2025-12-05,15:12:03,HOSE,STOCK,52.8,56.4,49.15,53.2,53.2,51.9,52.0,52.19,53.2,53.2,51.9,52.0,52.19,386700.0,20181780000.0,0.0,0.0,-0.8,-0.8,-1.5152
BVH,2025-12-04,15:12:03,HOSE,STOCK,53.4,57.1,49.7,53.5,53.5,52.7,52.8,53.011,53.5,53.5,52.7,52.8,53.011,347700.0,18431900000.0,0.0,0.0,-0.6,-0.6,-1.1236
BVH,2025-12-03,15:12:04,HOSE,STOCK,51.7,55.3,48.1,51.8,53.4,51.8,53.4,52.895,51.8,53.4,51.8,53.4,52.895,389000.0,20576280000.0,0.0,0.0,1.7,1.7,3.2882
BVH,2025-12-02,15:12:03,HOSE,STOCK,51.5,55.1,47.9,51.4,52.3,50.4,51.7,51.269,51.4,52.3,50.4,51.7,51.269,496700.0,25465150000.0,0.0,0.0,0.2,0.2,0.3883
BVH,2025-12-01,15:12:03,HOSE,STOCK,52.1,55.7,48.5,52.1,52.2,51.5,51.5,51.726,52.1,52.2,51.5,51.5,51.726,203000.0,10500430000.0,0.0,0.0,-0.6,-0.6,-1.1516
BVH,2025-11-28,15:11:04,HOSE,STOCK,52.9,56.6,49.2,52.9,53.0,52.0,52.1,52.454,52.9,53.0,52.0,52.1,52.454,156400.0,8203850000.0,0.0,0.0,-0.8,-0.8,-1.5123
BVH,2025-11-27,15:11:05,HOSE,STOCK,51.9,55.5,48.3,52.5,52.9,52.0,52.9,52.521,52.5,52.9,52.0,52.9,52.521,151600.0,7962240000.0,0.0,0.0,1.0,1.0,1.9268
BVH,2025-11-26,15:11:03,HOSE,STOCK,51.9,55.5,48.3,52.3,52.3,51.6,51.9,51.902,52.3,52.3,51.6,51.9,51.902,163500.0,8485950000.0,0.0,0.0,0.0,0.0,0.0
BVH,2025-11-25,15:11:04,HOSE,STOCK,53.2,56.9,49.5,53.2,53.2,51.9,51.9,52.428,53.2,53.2,51.9,51.9,52.428,349200.0,18308030000.0,0.0,0.0,-1.3,-1.3,-2.4436
BVH,2025-11-24,15:11:04,HOSE,STOCK,54.1,57.8,50.4,54.1,54.2,53.1,53.2,53.367,54.1,54.2,53.1,53.2,53.367,199300.0,10636110000.0,0.0,0.0,-0.9,-0.9,-1.6636
BVH,2025-11-21,15:11:04,HOSE,STOCK,55.3,59.1,51.5,54.7,55.3,53.0,54.1,53.609,54.7,55.3,53.0,54.1,53.609,467200.0,25046070000.0,0.0,0.0,-1.2,-1.2,-2.17
BVH,2025-11-20,15:11:03,HOSE,STOCK,54.2,57.9,50.5,54.2,55.7,54.2,55.3,55.199,54.2,55.7,54.2,55.3,55.199,748300.0,41305240000.0,0.0,0.0,1.1,1.1,2.0295
BVH,2025-11-19,15:11:04,HOSE,STOCK,54.2,57.9,50.5,54.1,55.1,54.1,54.2,54.649,54.1,55.1,54.1,54.2,54.649,327900.0,17919540000.0,0.0,0.0,0.0,0.0,0.0
BVH,2025-11-18,15:11:03,HOSE,STOCK,54.1,57.8,50.4,54.1,54.2,53.3,54.2,53.714,54.1,54.2,53.3,54.2,53.714,404500.0,21727380000.0,0.0,0.0,0.1,0.1,0.1848
BVH,2025-11-17,15:11:03,HOSE,STOCK,55.3,59.1,51.5,55.8,55.8,54.0,54.1,54.476,55.8,55.8,54.0,54.1,54.476,433400.0,23609960000.0,0.0,0.0,-1.2,-1.2,-2.17
BVH,2025-11-14,15:11:05,HOSE,STOCK,54.9,58.7,51.1,54.5,56.1,54.5,55.3,55.404,54.5,56.1,54.5,55.3,55.404,530700.0,29402930000.0,0.0,0.0,0.4,0.4,0.7286
BVH,2025-11-13,15:11:04,HOSE,STOCK,56.0,59.9,52.1,56.8,56.8,55.1,55.95,55.789,55.732,55.732,54.064,54.947,54.74,451500.0,25188740000.0,0.0,0.0,-0.05,-0.0491,-0.0893
BVH,2025-11-12,15:11:03,HOSE,STOCK,53.4,57.1,49.7,53.4,56.3,53.1,56.0,55.547,52.396,55.242,52.102,54.947,54.503,827800.0,45981510000.0,0.0,0.0,2.6,2.5511,4.8689
BVH,2025-11-11,15:11:04,HOSE,STOCK,53.0,56.7,49.3,53.5,54.1,53.1,53.4,53.693,52.494,53.083,52.102,52.396,52.684,281200.0,15098570000.0,0.0,0.0,0.4,0.3925,0.7547
BVH,2025-11-10,15:11:04,HOSE,STOCK,52.0,55.6,48.4,52.1,54.1,52.0,53.0,53.078,51.121,53.083,51.022,52.004,52.08,367500.0,19506010000.0,0.0,0.0,1.0,0.9812,1.9231
BVH,2025-11-07,15:11:03,HOSE,STOCK,54.1,57.8,50.4,54.1,54.4,51.8,52.0,52.889,53.083,53.377,50.826,51.022,51.895,465800.0,24635540000.0,0.0,0.0,-2.1,-2.0605,-3.8817
BVH,2025-11-06,15:11:03,HOSE,STOCK,54.5,58.3,50.7,55.1,55.1,53.2,54.1,53.935,54.064,54.064,52.2,53.083,52.921,347700.0,18753200000.0,0.0,0.0,-0.4,-0.3925,-0.7339
BVH,2025-11-05,15:11:02,HOSE,STOCK,54.3,58.1,50.5,54.1,55.9,53.6,54.5,55.073,53.083,54.849,52.592,53.475,54.038,835000.0,45986120000.0,0.0,0.0,0.2,0.1962,0.3683
BVH,2025-11-04,15:11:04,HOSE,STOCK,54.3,58.1,50.5,54.9,55.2,51.7,54.3,53.604,53.868,54.162,50.728,53.279,52.596,1009800.0,54129550000.0,0.0,0.0,0.0,0.0,0.0
