code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
CTG,2025-12-12,15:12:03,HOSE,STOCK,50.1,53.6,46.6,50.3,50.6,49.5,49.5,50.144,50.3,50.6,49.5,49.5,50.144,8014400.0,401872705000.0,1000006.0,50500279600.0,-0.6,-0.6,-1.1976
CTG,2025-12-11,15:12:04,HOSE,STOCK,50.5,54.0,47.0,50.7,50.7,50.0,50.1,50.259,50.7,50.7,50.0,50.1,50.259,4553200.0,228840400000.0,80004.0,3900188000.0,-0.4,-0.4,-0.7921
CTG,2025-12-10,15:12:07,HOSE,STOCK,50.1,53.6,46.6,50.4,50.8,50.1,50.5,50.495,50.4,50.8,50.1,50.5,50.495,3867500.0,195288840000.0,1609100.0,79011870000.0,0.4,0.4,0.7984
CTG,2025-12-09,15:12:04,HOSE,STOCK,51.1,54.6,47.55,50.9,50.9,49.95,50.1,50.23,50.9,50.9,49.95,50.1,50.23,9538100.0,479098820000.0,60007.0,2991332850.0,-1.0,-1.0,-1.9569
CTG,2025-12-08,15:12:04,HOSE,STOCK,51.5,55.1,47.9,51.4,51.4,50.6,51.1,50.941,51.4,51.4,50.6,51.1,50.941,6112900.0,311394870000.0,235003.0,12435643700.0,-0.4,-0.4,-0.7767
CTG,2025-12-05,15:12:03,HOSE,STOCK,52.0,55.6,48.4,52.1,52.2,51.2,51.5,51.6,52.1,52.2,51.2,51.5,51.6,6459700.0,333320550000.0,297003.0,15500057200.0,-0.5,-0.5,-0.9615
CTG,2025-12-04,15:12:03,HOSE,STOCK,52.0,55.6,48.4,52.2,52.6,51.7,52.0,52.027,52.2,52.6,51.7,52.0,52.027,7554000.0,393015030000.0,74000.0,3753600000.0,0.0,0.0,0.0
CTG,2025-12-03,15:12:04,HOSE,STOCK,49.05,52.4,45.65,49.5,52.4,49.5,52.0,51.302,49.5,52.4,49.5,52.0,51.302,22667700.0,1162899510000.0,130004.0,6170182600.0,2.95,2.95,6.0143
CTG,2025-12-02,15:12:03,HOSE,STOCK,48.4,51.7,45.05,48.95,49.2,48.4,49.05,48.805,48.95,49.2,48.4,49.05,48.805,8947700.0,436695565000.0,74000.0,3661800000.0,0.65,0.65,1.343
CTG,2025-12-01,15:12:03,HOSE,STOCK,49.0,52.4,45.6,48.9,48.95,48.4,48.4,48.514,48.9,48.95,48.4,48.4,48.514,2739600.0,132909985000.0,1210032.0,55384459200.0,-0.6,-0.6,-1.2245
CTG,2025-11-28,15:11:04,HOSE,STOCK,48.85,52.2,45.45,48.65,49.0,48.2,49.0,48.673,48.65,49.0,48.2,49.0,48.673,4673400.0,227468740000.0,74009.0,3789809050.0,0.15,0.15,0.3071
CTG,2025-11-27,15:11:05,HOSE,STOCK,48.9,52.3,45.5,49.0,49.6,48.8,48.85,49.155,49.0,49.6,48.8,48.85,49.155,7632300.0,375168500000.0,60011.0,3132500500.0,-0.05,-0.05,-0.1022
CTG,2025-11-26,15:11:03,HOSE,STOCK,48.15,51.5,44.8,48.3,48.9,47.9,48.9,48.375,48.3,48.9,47.9,48.9,48.375,7071200.0,342067705000.0,74015.0,3474572000.0,0.75,0.75,1.5576
CTG,2025-11-25,15:11:04,HOSE,STOCK,48.8,52.2,45.4,48.7,48.95,48.15,48.15,48.319,48.7,48.95,48.15,48.15,48.319,5568500.0,269062565000.0,130005.0,6410577000.0,-0.65,-0.65,-1.332
CTG,2025-11-24,15:11:04,HOSE,STOCK,49.1,52.5,45.7,49.1,49.2,48.75,48.8,48.882,49.1,49.2,48.75,48.8,48.882,3617800.0,176845895000.0,704017.0,34453766900.0,-0.3,-0.3,-0.611
CTG,2025-11-21,15:11:04,HOSE,STOCK,49.1,52.5,45.7,48.6,49.2,48.3,49.1,48.674,48.6,49.2,48.3,49.1,48.674,6520900.0,317398805000.0,110008.0,5408365600.0,0.0,0.0,0.0
CTG,2025-11-20,15:11:03,HOSE,STOCK,49.35,52.8,45.9,49.3,49.3,48.65,49.1,48.987,49.3,49.3,48.65,49.1,48.987,4543200.0,222557660000.0,94003.0,4817437700.0,-0.25,-0.25,-0.5066
CTG,2025-11-19,15:11:04,HOSE,STOCK,49.4,52.8,45.95,49.4,49.4,48.75,49.35,49.082,49.4,49.4,48.75,49.35,49.082,5019700.0,246375670000.0,390001.0,19859045950.0,-0.05,-0.05,-0.1012
CTG,2025-11-18,15:11:03,HOSE,STOCK,48.85,52.2,45.45,48.9,49.55,48.85,49.4,49.192,48.9,49.55,48.85,49.4,49.192,5458400.0,268511825000.0,608015.0,30946681750.0,0.55,0.55,1.1259
