code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
FPT,2025-12-12,15:12:03,HOSE,STOCK,96.0,102.7,89.3,96.0,96.0,93.5,93.7,94.949,96.0,96.0,93.5,93.7,94.949,5519800.0,524099100000.0,100017.0,9001518100.0,-2.3,-2.3,-2.3958
FPT,2025-12-11,15:12:04,HOSE,STOCK,95.6,102.2,89.0,95.9,96.6,95.6,96.0,96.135,95.9,96.6,95.6,96.0,96.135,5201600.0,500054640000.0,634100.0,60993915000.0,0.4,0.4,0.4184
FPT,2025-12-10,15:12:07,HOSE,STOCK,96.9,103.6,90.2,97.1,97.1,95.6,95.6,96.237,97.1,97.1,95.6,95.6,96.237,3894100.0,374755940000.0,103000.0,9849169000.0,-1.3,-1.3,-1.3416
FPT,2025-12-09,15:12:04,HOSE,STOCK,95.5,102.1,88.9,95.5,97.0,94.4,96.9,95.279,95.5,97.0,94.4,96.9,95.279,9961500.0,949119940000.0,1099004.0,111906695600.0,1.4,1.4,1.466
FPT,2025-12-08,15:12:04,HOSE,STOCK,96.2,102.9,89.5,96.6,97.3,95.5,95.5,96.156,96.6,97.3,95.5,95.5,96.156,5278600.0,507568190000.0,321006.0,30934297000.0,-0.7,-0.7,-0.7277
FPT,2025-12-05,15:12:03,HOSE,STOCK,97.5,104.3,90.7,97.5,97.5,96.1,96.2,96.598,97.5,97.5,96.1,96.2,96.598,5062500.0,489027600000.0,1020000.0,92786000000.0,-1.3,-1.3,-1.3333
FPT,2025-12-04,15:12:03,HOSE,STOCK,96.6,103.3,89.9,96.6,98.5,96.6,97.5,97.532,96.6,98.5,96.6,97.5,97.532,7387500.0,720518450000.0,882000.0,89650000000.0,0.9,0.9,0.9317
FPT,2025-12-03,15:12:04,HOSE,STOCK,96.6,103.3,89.9,97.0,97.0,96.0,96.6,96.235,97.0,97.0,96.0,96.6,96.235,6475300.0,623153020000.0,80000.0,7600000000.0,0.0,0.0,0.0
FPT,2025-12-02,15:12:03,HOSE,STOCK,96.6,103.3,89.9,96.8,97.3,95.4,96.6,96.0,96.8,97.3,95.4,96.6,96.0,5560800.0,533838900000.0,0.0,0.0,0.0,0.0,0.0
FPT,2025-12-01,15:12:03,HOSE,STOCK,96.1,102.8,89.4,96.9,97.7,96.1,96.6,96.979,96.9,97.7,96.1,96.6,96.979,3125100.0,303070320000.0,1862879.0,172571382600.0,0.5,0.5,0.5203
FPT,2025-11-28,15:11:04,HOSE,STOCK,99.5,106.4,92.6,99.1,99.4,97.1,97.1,97.944,98.079,98.376,96.1,96.1,96.935,6210400.0,608272440000.0,1894004.0,191788370400.0,-2.4,-2.3753,-2.4121
FPT,2025-11-27,15:11:05,HOSE,STOCK,99.0,105.9,92.1,99.2,99.8,98.1,99.5,98.987,98.178,98.772,97.09,98.475,97.967,4780500.0,473205540000.0,1565000.0,160573680000.0,0.5,0.4948,0.5051
FPT,2025-11-26,15:11:03,HOSE,STOCK,99.7,106.6,92.8,99.8,100.2,98.9,99.0,99.436,98.772,99.168,97.881,97.98,98.412,5830900.0,579803480000.0,0.0,0.0,-0.7,-0.6928,-0.7021
FPT,2025-11-25,15:11:04,HOSE,STOCK,100.2,107.2,93.2,99.7,100.3,99.0,99.7,99.582,98.673,99.267,97.98,98.673,98.556,4494900.0,447612240000.0,0.0,0.0,-0.5,-0.4948,-0.499
FPT,2025-11-24,15:11:04,HOSE,STOCK,100.8,107.8,93.8,100.7,101.1,99.6,100.2,100.181,99.663,100.059,98.574,99.168,99.149,5061800.0,507096480000.0,0.0,0.0,-0.6,-0.5938,-0.5952
FPT,2025-11-21,15:11:04,HOSE,STOCK,99.0,105.9,92.1,98.0,101.2,97.8,100.8,99.23,96.991,100.158,96.793,99.762,98.208,7936900.0,787579080000.0,0.0,0.0,1.8,1.7815,1.8182
FPT,2025-11-20,15:11:03,HOSE,STOCK,98.0,104.8,91.2,98.6,99.7,98.1,99.0,98.924,97.584,98.673,97.09,97.98,97.905,4593100.0,454368430000.0,0.0,0.0,1.0,0.9897,1.0204
FPT,2025-11-19,15:11:04,HOSE,STOCK,100.0,107.0,93.0,99.5,99.5,98.0,98.0,98.57,98.475,98.475,96.991,96.991,97.555,5169300.0,509539570000.0,0.0,0.0,-2.0,-1.9794,-2.0
FPT,2025-11-18,15:11:03,HOSE,STOCK,101.0,108.0,94.0,101.0,101.1,98.8,100.0,99.741,99.96,100.059,97.782,98.97,98.714,6500100.0,648329340000.0,0.0,0.0,-1.0,-0.9897,-0.9901
FPT,2025-11-17,15:11:03,HOSE,STOCK,100.0,107.0,93.0,100.6,101.8,100.6,101.0,101.05,99.564,100.751,99.564,99.96,100.009,5585100.0,564373840000.0,0.0,0.0,1.0,0.9897,1.0
