code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
GAS,2025-12-12,15:12:02,HOSE,STOCK,62.6,66.9,58.3,62.6,62.9,61.3,61.3,62.069,62.6,62.9,61.3,61.3,62.069,598400.0,37142290000.0,0.0,0.0,-1.3,-1.3,-2.0767
GAS,2025-12-11,15:12:03,HOSE,STOCK,63.5,67.9,59.1,63.6,63.9,62.5,62.6,63.258,63.6,63.9,62.5,62.6,63.258,470100.0,29737510000.0,0.0,0.0,-0.9,-0.9,-1.4173
GAS,2025-12-10,15:12:04,HOSE,STOCK,64.0,68.4,59.6,63.9,64.1,63.4,63.5,63.715,63.9,64.1,63.4,63.5,63.715,443900.0,28282930000.0,0.0,0.0,-0.5,-0.5,-0.7813
GAS,2025-12-09,15:12:02,HOSE,STOCK,65.4,69.9,60.9,65.3,65.3,63.6,64.0,64.201,65.3,65.3,63.6,64.0,64.201,731000.0,46931060000.0,0.0,0.0,-1.4,-1.4,-2.1407
GAS,2025-12-08,15:12:03,HOSE,STOCK,64.0,68.4,59.6,64.1,65.4,63.6,65.4,64.746,64.1,65.4,63.6,65.4,64.746,1050700.0,68028840000.0,0.0,0.0,1.4,1.4,2.1875
GAS,2025-12-05,15:12:02,HOSE,STOCK,65.0,69.5,60.5,65.2,65.2,64.0,64.0,64.393,65.2,65.2,64.0,64.0,64.393,735600.0,47367790000.0,0.0,0.0,-1.0,-1.0,-1.5385
GAS,2025-12-04,15:12:02,HOSE,STOCK,64.5,69.0,60.0,64.6,65.0,64.1,65.0,64.508,64.6,65.0,64.1,65.0,64.508,1027400.0,66275120000.0,0.0,0.0,0.5,0.5,0.7752
GAS,2025-12-03,15:12:03,HOSE,STOCK,66.1,70.7,61.5,66.2,66.2,64.3,64.5,64.96,66.2,66.2,64.3,64.5,64.96,1151400.0,74794940000.0,0.0,0.0,-1.6,-1.6,-2.4206
GAS,2025-12-02,15:12:02,HOSE,STOCK,65.4,69.9,60.9,65.4,66.1,64.8,66.1,65.725,65.4,66.1,64.8,66.1,65.725,1960300.0,128841630000.0,0.0,0.0,0.7,0.7,1.0703
GAS,2025-12-01,15:12:02,HOSE,STOCK,63.4,67.8,59.0,63.4,65.8,63.4,65.4,64.784,63.4,65.8,63.4,65.4,64.784,2743800.0,177753680000.0,0.0,0.0,2.0,2.0,3.1546
GAS,2025-11-28,15:11:03,HOSE,STOCK,63.0,67.4,58.6,63.0,63.8,62.5,63.4,63.337,63.0,63.8,62.5,63.4,63.337,1243100.0,78733740000.0,0.0,0.0,0.4,0.4,0.6349
GAS,2025-11-27,15:11:04,HOSE,STOCK,62.0,66.3,57.7,61.9,63.1,61.5,63.0,62.739,61.9,63.1,61.5,63.0,62.739,1562200.0,98010720000.0,0.0,0.0,1.0,1.0,1.6129
GAS,2025-11-26,15:11:02,HOSE,STOCK,60.8,65.0,56.6,60.8,62.0,60.7,62.0,61.185,60.8,62.0,60.7,62.0,61.185,529300.0,32385420000.0,0.0,0.0,1.2,1.2,1.9737
GAS,2025-11-25,15:11:03,HOSE,STOCK,61.0,65.2,56.8,61.0,61.4,60.8,60.8,61.015,61.0,61.4,60.8,60.8,61.015,405700.0,24753670000.0,0.0,0.0,-0.2,-0.2,-0.3279
GAS,2025-11-24,15:11:02,HOSE,STOCK,61.9,66.2,57.6,61.9,62.0,61.0,61.0,61.249,61.9,62.0,61.0,61.0,61.249,390000.0,23887060000.0,0.0,0.0,-0.9,-0.9,-1.454
GAS,2025-11-21,15:11:02,HOSE,STOCK,62.1,66.4,57.8,61.6,61.9,61.0,61.9,61.372,61.6,61.9,61.0,61.9,61.372,467300.0,28679170000.0,0.0,0.0,-0.2,-0.2,-0.3221
GAS,2025-11-20,15:11:02,HOSE,STOCK,62.2,66.5,57.9,62.2,62.3,61.7,62.1,61.965,62.2,62.3,61.7,62.1,61.965,392000.0,24290280000.0,0.0,0.0,-0.1,-0.1,-0.1608
GAS,2025-11-19,15:11:03,HOSE,STOCK,62.4,66.7,58.1,62.5,62.8,62.0,62.2,62.272,62.5,62.8,62.0,62.2,62.272,380800.0,23713140000.0,0.0,0.0,-0.2,-0.2,-0.3205
GAS,2025-11-18,15:11:02,HOSE,STOCK,63.0,67.4,58.6,63.4,63.4,62.1,62.4,62.614,63.4,63.4,62.1,62.4,62.614,749600.0,46935410000.0,0.0,0.0,-0.6,-0.6,-0.9524
GAS,2025-11-17,15:11:02,HOSE,STOCK,62.8,67.1,58.5,63.2,63.8,62.0,63.0,62.973,63.2,63.8,62.0,63.0,62.973,689000.0,43388390000.0,20000.0,1170000000.0,0.2,0.2,0.3185
GAS,2025-11-14,15:11:03,HOSE,STOCK,62.9,67.3,58.5,62.9,63.4,62.5,62.8,63.026,62.9,63.4,62.5,62.8,63.026,496800.0,31311350000.0,0.0,0.0,-0.1,-0.1,-0.159
GAS,2025-11-13,15:11:03,HOSE,STOCK,61.9,66.2,57.6,61.7,63.5,61.4,62.9,62.881,61.7,63.5,61.4,62.9,62.881,1158200.0,72829170000.0,0.0,0.0,1.0,1.0,1.6155
GAS,2025-11-12,15:11:02,HOSE,STOCK,61.1,65.3,56.9,61.5,62.0,60.6,61.9,61.354,61.5,62.0,60.6,61.9,61.354,648800.0,39806580000.0,0.0,0.0,0.8,0.8,1.3093
GAS,2025-11-11,15:11:03,HOSE,STOCK,61.2,65.4,57.0,61.3,62.0,60.9,61.1,61.448,61.3,62.0,60.9,61.1,61.448,553500.0,34011290000.0,0.0,0.0,-0.1,-0.1,-0.1634
GAS,2025-11-10,15:11:02,HOSE,STOCK,62.9,67.3,58.5,62.8,62.8,61.0,61.2,62.089,62.8,62.8,61.0,61.2,62.089,738300.0,45840490000.0,0.0,0.0,-1.7,-1.7,-2.7027
GAS,2025-11-07,15:11:02,HOSE,STOCK,62.1,66.4,57.8,61.8,62.9,61.0,62.9,61.965,61.8,62.9,61.0,62.9,61.965,1225100.0,75912730000.0,0.0,0.0,0.8,0.8,1.2882
GAS,2025-11-06,15:11:02,HOSE,STOCK,63.0,67.4,58.6,63.3,63.3,61.7,62.1,62.407,63.3,63.3,61.7,62.1,62.407,626000.0,39066790000.0,250000.0,16525000000.0,-0.9,-0.9,-1.4286
GAS,2025-11-05,15:11:02,HOSE,STOCK,60.5,64.7,56.3,60.7,63.6,60.6,63.0,62.676,60.7,63.6,60.6,63.0,62.676,1680600.0,105333500000.0,0.0,0.0,2.5,2.5,4.1322
GAS,2025-11-04,15:11:03,HOSE,STOCK,61.5,65.8,57.2,62.1,62.2,60.1,60.5,61.221,62.1,62.2,60.1,60.5,61.221,1008600.0,61747920000.0,0.0,0.0,-1.0,-1.0,-1.626
GAS,2025-11-03,15:11:02,HOSE,STOCK,61.6,65.9,57.3,62.0,62.9,61.5,61.5,62.117,62.0,62.9,61.5,61.5,62.117,1095100.0,68024270000.0,0.0,0.0,-0.1,-0.1,-0.1623
GAS,2025-10-31,15:10:02,HOSE,STOCK,59.7,63.8,55.6,59.8,62.3,59.8,61.6,61.548,59.8,62.3,59.8,61.6,61.548,1173700.0,72238340000.0,0.0,0.0,1.9,1.9,3.1826
GAS,2025-10-30,15:10:04,HOSE,STOCK,60.2,64.4,56.0,60.2,60.8,59.7,59.7,60.286,60.2,60.8,59.7,59.7,60.286,460400.0,27755520000.0,0.0,0.0,-0.5,-0.5,-0.8306
GAS,2025-10-29,15:10:02,HOSE,STOCK,60.0,64.2,55.8,60.1,61.2,60.0,60.2,60.667,60.1,61.2,60.0,60.2,60.667,639500.0,38796760000.0,0.0,0.0,0.2,0.2,0.3333
GAS,2025-10-28,15:10:04,HOSE,STOCK,59.3,63.4,55.2,59.3,60.2,59.1,60.0,59.633,59.3,60.2,59.1,60.0,59.633,660100.0,39363640000.0,0.0,0.0,0.7,0.7,1.1804
GAS,2025-10-27,15:10:01,HOSE,STOCK,59.6,63.7,55.5,60.2,60.2,59.3,59.3,59.642,60.2,60.2,59.3,59.3,59.642,512900.0,30590190000.0,0.0,0.0,-0.3,-0.3,-0.5034
GAS,2025-10-24,15:10:03,HOSE,STOCK,59.8,63.9,55.7,60.4,60.8,59.6,59.6,60.052,60.4,60.8,59.6,59.6,60.052,643300.0,38631360000.0,0.0,0.0,-0.2,-0.2,-0.3344
GAS,2025-10-23,15:10:01,HOSE,STOCK,59.0,63.1,54.9,60.0,60.7,59.5,59.8,60.11,60.0,60.7,59.5,59.8,60.11,554800.0,33349030000.0,0.0,0.0,0.8,0.8,1.3559
