code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
GVR,2025-12-12,15:12:02,HOSE,STOCK,26.65,28.5,24.8,26.7,26.8,25.1,25.3,25.941,26.7,26.8,25.1,25.3,25.941,2898000.0,75175695000.0,0.0,0.0,-1.35,-1.35,-5.0657
GVR,2025-12-11,15:12:03,HOSE,STOCK,26.75,28.6,24.9,26.8,27.0,26.6,26.65,26.816,26.8,27.0,26.6,26.65,26.816,1028300.0,27574430000.0,0.0,0.0,-0.1,-0.1,-0.3738
GVR,2025-12-10,15:12:04,HOSE,STOCK,26.9,28.75,25.05,26.8,27.1,26.75,26.75,26.865,26.8,27.1,26.75,26.75,26.865,1098300.0,29505435000.0,0.0,0.0,-0.15,-0.15,-0.5576
GVR,2025-12-09,15:12:02,HOSE,STOCK,26.95,28.8,25.1,26.9,27.15,26.55,26.9,26.873,26.9,27.15,26.55,26.9,26.873,2669000.0,71722830000.0,0.0,0.0,-0.05,-0.05,-0.1855
GVR,2025-12-08,15:12:02,HOSE,STOCK,27.4,29.3,25.5,27.45,27.55,26.8,26.95,27.045,27.45,27.55,26.8,26.95,27.045,3507000.0,94845620000.0,0.0,0.0,-0.45,-0.45,-1.6423
GVR,2025-12-05,15:12:02,HOSE,STOCK,27.85,29.75,25.95,28.0,28.0,27.2,27.4,27.459,28.0,28.0,27.2,27.4,27.459,3578600.0,98264645000.0,0.0,0.0,-0.45,-0.45,-1.6158
GVR,2025-12-04,15:12:02,HOSE,STOCK,27.7,29.6,25.8,27.7,28.3,27.7,27.85,27.987,27.7,28.3,27.7,27.85,27.987,2234700.0,62542545000.0,0.0,0.0,0.15,0.15,0.5415
GVR,2025-12-03,15:12:03,HOSE,STOCK,27.75,29.65,25.85,27.75,27.9,27.45,27.7,27.717,27.75,27.9,27.45,27.7,27.717,2066500.0,57278040000.0,0.0,0.0,-0.05,-0.05,-0.1802
GVR,2025-12-02,15:12:02,HOSE,STOCK,26.7,28.55,24.85,26.4,27.8,26.4,27.75,27.179,26.4,27.8,26.4,27.75,27.179,2666600.0,72474460000.0,0.0,0.0,1.05,1.05,3.9326
GVR,2025-12-01,15:12:02,HOSE,STOCK,27.3,29.2,25.4,27.35,27.6,26.7,26.7,27.087,27.35,27.6,26.7,26.7,27.087,1889700.0,51186030000.0,0.0,0.0,-0.6,-0.6,-2.1978
GVR,2025-11-28,15:11:02,HOSE,STOCK,27.9,29.85,25.95,27.9,27.9,27.25,27.3,27.486,27.9,27.9,27.25,27.3,27.486,2071100.0,56925465000.0,0.0,0.0,-0.6,-0.6,-2.1505
GVR,2025-11-27,15:11:04,HOSE,STOCK,27.5,29.4,25.6,27.55,27.9,27.5,27.9,27.712,27.55,27.9,27.5,27.9,27.712,1797500.0,49812585000.0,0.0,0.0,0.4,0.4,1.4545
GVR,2025-11-26,15:11:02,HOSE,STOCK,27.1,28.95,25.25,27.15,27.8,27.15,27.5,27.488,27.15,27.8,27.15,27.5,27.488,1192000.0,32765640000.0,0.0,0.0,0.4,0.4,1.476
GVR,2025-11-25,15:11:02,HOSE,STOCK,27.7,29.6,25.8,27.6,28.1,27.0,27.1,27.519,27.6,28.1,27.0,27.1,27.519,2656500.0,73102995000.0,0.0,0.0,-0.6,-0.6,-2.1661
GVR,2025-11-24,15:11:02,HOSE,STOCK,27.8,29.7,25.9,28.0,28.1,27.7,27.7,27.818,28.0,28.1,27.7,27.7,27.818,884600.0,24607685000.0,0.0,0.0,-0.1,-0.1,-0.3597
GVR,2025-11-21,15:11:02,HOSE,STOCK,28.0,29.95,26.05,27.65,27.95,27.45,27.8,27.678,27.65,27.95,27.45,27.8,27.678,1915000.0,53002920000.0,0.0,0.0,-0.2,-0.2,-0.7143
GVR,2025-11-20,15:11:02,HOSE,STOCK,28.0,29.95,26.05,28.1,28.45,27.55,28.0,27.988,28.1,28.45,27.55,28.0,27.988,1872300.0,52401895000.0,0.0,0.0,0.0,0.0,0.0
GVR,2025-11-19,15:11:02,HOSE,STOCK,28.25,30.2,26.3,28.35,28.7,27.65,28.0,28.171,28.35,28.7,27.65,28.0,28.171,2915700.0,82136780000.0,0.0,0.0,-0.25,-0.25,-0.885
GVR,2025-11-18,15:11:02,HOSE,STOCK,29.1,31.1,27.1,29.1,29.15,28.25,28.25,28.536,29.1,29.15,28.25,28.25,28.536,4239500.0,120976620000.0,0.0,0.0,-0.85,-0.85,-2.921
GVR,2025-11-17,15:11:02,HOSE,STOCK,28.4,30.35,26.45,28.8,29.25,28.5,29.1,28.963,28.8,29.25,28.5,29.1,28.963,4627400.0,134022695000.0,0.0,0.0,0.7,0.7,2.4648
GVR,2025-11-14,15:11:03,HOSE,STOCK,28.5,30.45,26.55,28.5,28.95,28.3,28.4,28.547,28.5,28.95,28.3,28.4,28.547,2269200.0,64778615000.0,0.0,0.0,-0.1,-0.1,-0.3509
GVR,2025-11-13,15:11:03,HOSE,STOCK,28.05,30.0,26.1,28.2,29.1,28.2,28.5,28.665,28.2,29.1,28.2,28.5,28.665,3905600.0,111954850000.0,0.0,0.0,0.45,0.45,1.6043
GVR,2025-11-12,15:11:02,HOSE,STOCK,27.9,29.85,25.95,28.1,28.5,27.95,28.45,28.238,27.704,28.098,27.556,28.049,27.84,1674100.0,47273440000.0,0.0,0.0,0.55,0.5422,1.9713
GVR,2025-11-11,15:11:03,HOSE,STOCK,27.95,29.9,26.0,28.2,28.3,27.7,27.9,28.008,27.802,27.901,27.309,27.507,27.613,1510800.0,42314805000.0,0.0,0.0,-0.05,-0.0493,-0.1789
GVR,2025-11-10,15:11:02,HOSE,STOCK,27.8,29.7,25.9,28.1,28.7,27.75,27.95,28.152,27.704,28.295,27.359,27.556,27.755,2280900.0,64212500000.0,0.0,0.0,0.15,0.1479,0.5396
