code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
HDB,2025-12-12,15:12:02,HOSE,STOCK,31.75,33.95,29.55,31.8,31.9,30.2,30.2,31.058,31.8,31.9,30.2,30.2,31.058,15587400.0,484117010000.0,2000000.0,63500000000.0,-1.55,-1.55,-4.8819
HDB,2025-12-11,15:12:03,HOSE,STOCK,32.15,34.4,29.9,32.2,32.25,31.6,31.75,31.83,32.2,32.25,31.6,31.75,31.83,6731800.0,214270490000.0,310000.0,9700250000.0,-0.4,-0.4,-1.2442
HDB,2025-12-10,15:12:05,HOSE,STOCK,31.5,33.7,29.3,32.3,33.0,31.6,32.15,32.247,32.3,33.0,31.6,32.15,32.247,24010400.0,774259300000.0,1664000.0,53065986000.0,0.65,0.65,2.0635
HDB,2025-12-09,15:12:03,HOSE,STOCK,32.75,35.0,30.5,32.65,32.65,31.5,31.5,31.857,32.65,32.65,31.5,31.5,31.857,20452400.0,651561035000.0,2440000.0,79910000000.0,-1.25,-1.25,-3.8168
HDB,2025-12-08,15:12:03,HOSE,STOCK,32.95,35.25,30.65,32.85,32.95,32.4,32.75,32.613,32.85,32.95,32.4,32.75,32.613,9934700.0,323995465000.0,180000.0,5940000000.0,-0.2,-0.2,-0.607
HDB,2025-12-05,15:12:02,HOSE,STOCK,32.95,35.25,30.65,33.0,33.0,32.45,32.95,32.714,33.0,33.0,32.45,32.95,32.714,9205900.0,301157965000.0,0.0,0.0,0.0,0.0,0.0
HDB,2025-12-04,15:12:02,HOSE,STOCK,32.25,34.5,30.0,32.8,33.1,32.4,32.95,32.757,32.8,33.1,32.4,32.95,32.757,15110300.0,494963660000.0,20000.0,614280000.0,0.7,0.7,2.1705
HDB,2025-12-03,15:12:03,HOSE,STOCK,32.0,34.2,29.8,32.0,32.5,31.75,32.25,32.112,32.0,32.5,31.75,32.25,32.112,14169900.0,455030480000.0,5430000.0,173022000000.0,0.25,0.25,0.7813
HDB,2025-12-02,15:12:02,HOSE,STOCK,31.5,33.7,29.3,31.5,32.0,30.95,32.0,31.326,31.5,32.0,30.95,32.0,31.326,14736300.0,461624385000.0,1795500.0,56541500000.0,0.5,0.5,1.5873
HDB,2025-12-01,15:12:02,HOSE,STOCK,32.0,34.2,29.8,32.05,32.05,31.45,31.5,31.589,32.05,32.05,31.45,31.5,31.589,7633800.0,241146965000.0,1.0,29800.0,-0.5,-0.5,-1.5625
