code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
HPG,2025-12-12,15:12:03,HOSE,STOCK,26.55,28.4,24.7,26.6,26.7,26.0,26.0,26.311,26.6,26.7,26.0,26.0,26.311,37088200.0,975830885000.0,14738021.0,394968009650.0,-0.55,-0.55,-2.0716
HPG,2025-12-11,15:12:04,HOSE,STOCK,26.65,28.5,24.8,26.7,26.9,26.5,26.55,26.702,26.7,26.9,26.5,26.55,26.702,17142200.0,457724075000.0,270022.0,7217579200.0,-0.1,-0.1,-0.3752
HPG,2025-12-10,15:12:07,HOSE,STOCK,26.4,28.2,24.6,26.65,27.0,26.6,26.65,26.784,26.65,27.0,26.6,26.65,26.784,19708000.0,527849830000.0,14743024.0,390010735550.0,0.25,0.25,0.947
HPG,2025-12-09,15:12:04,HOSE,STOCK,26.75,28.6,24.9,26.7,26.9,26.4,26.4,26.573,26.7,26.9,26.4,26.4,26.573,39911800.0,1060569680000.0,1130024.0,29538341700.0,-0.35,-0.35,-1.3084
HPG,2025-12-08,15:12:04,HOSE,STOCK,27.0,28.85,25.15,26.9,27.1,26.75,26.75,26.894,26.9,27.1,26.75,26.75,26.894,21455600.0,577018285000.0,2867832.0,77398699950.0,-0.25,-0.25,-0.9259
HPG,2025-12-05,15:12:03,HOSE,STOCK,27.3,29.2,25.4,27.35,27.35,27.0,27.0,27.108,27.35,27.35,27.0,27.0,27.108,17662100.0,478779690000.0,330024.0,8632089000.0,-0.3,-0.3,-1.0989
HPG,2025-12-04,15:12:03,HOSE,STOCK,26.8,28.65,24.95,26.95,27.45,26.9,27.3,27.138,26.95,27.45,26.9,27.3,27.138,35081200.0,952033210000.0,80024.0,2169131350.0,0.5,0.5,1.8657
HPG,2025-12-03,15:12:04,HOSE,STOCK,26.5,28.35,24.65,26.6,26.85,26.45,26.8,26.638,26.6,26.85,26.45,26.8,26.638,21527600.0,573441805000.0,1930033.0,51100152300.0,0.3,0.3,1.1321
HPG,2025-12-02,15:12:03,HOSE,STOCK,26.5,28.35,24.65,26.55,26.65,26.2,26.5,26.364,26.55,26.65,26.2,26.5,26.364,26073200.0,687406330000.0,1580028.0,42589231850.0,0.0,0.0,0.0
HPG,2025-12-01,15:12:03,HOSE,STOCK,26.55,28.4,24.7,26.65,26.75,26.5,26.5,26.597,26.65,26.75,26.5,26.5,26.597,19747100.0,525212045000.0,7275708.0,190592533800.0,-0.05,-0.05,-0.1883
HPG,2025-11-28,15:11:04,HOSE,STOCK,26.9,28.75,25.05,26.9,27.05,26.55,26.55,26.751,26.9,27.05,26.55,26.55,26.751,20789300.0,556136685000.0,7130087.0,196737751600.0,-0.35,-0.35,-1.3011
HPG,2025-11-27,15:11:05,HOSE,STOCK,27.1,28.95,25.25,27.2,27.3,26.9,26.9,27.031,27.2,27.3,26.9,26.9,27.031,13956200.0,377249575000.0,5001059.0,138724774400.0,-0.2,-0.2,-0.738
HPG,2025-11-26,15:11:03,HOSE,STOCK,26.9,28.75,25.05,26.95,27.2,26.85,27.1,27.042,26.95,27.2,26.85,27.1,27.042,19022200.0,514392405000.0,9455030.0,257278044550.0,0.2,0.2,0.7435
HPG,2025-11-25,15:11:04,HOSE,STOCK,27.1,28.95,25.25,27.15,27.35,26.9,26.9,27.097,27.15,27.35,26.9,26.9,27.097,24346200.0,659700815000.0,3676045.0,100916681400.0,-0.2,-0.2,-0.738
HPG,2025-11-24,15:11:04,HOSE,STOCK,27.4,29.3,25.5,27.4,27.55,27.1,27.1,27.315,27.4,27.55,27.1,27.1,27.315,14707800.0,401750725000.0,2005030.0,55115789500.0,-0.3,-0.3,-1.0949
HPG,2025-11-21,15:11:04,HOSE,STOCK,27.25,29.15,25.35,27.15,27.45,26.9,27.4,27.121,27.15,27.45,26.9,27.4,27.121,22607900.0,613139570000.0,720091.0,18992054100.0,0.15,0.15,0.5505
HPG,2025-11-20,15:11:03,HOSE,STOCK,27.6,29.5,25.7,27.7,27.8,27.15,27.25,27.32,27.7,27.8,27.15,27.25,27.32,23049300.0,629700205000.0,481203.0,13328596300.0,-0.35,-0.35,-1.2681
HPG,2025-11-19,15:11:04,HOSE,STOCK,27.5,29.4,25.6,27.5,28.35,27.45,27.6,27.909,27.5,28.35,27.45,27.6,27.909,56320700.0,1571876845000.0,2200047.0,57873028800.0,0.1,0.1,0.3636
HPG,2025-11-18,15:11:03,HOSE,STOCK,27.3,29.2,25.4,27.25,27.6,27.15,27.5,27.435,27.25,27.6,27.15,27.5,27.435,35028300.0,961018175000.0,5830052.0,157265592300.0,0.2,0.2,0.7326
HPG,2025-11-17,15:11:03,HOSE,STOCK,26.9,28.75,25.05,27.05,27.35,27.05,27.3,27.221,27.05,27.35,27.05,27.3,27.221,32158300.0,875379255000.0,425136.0,11501938300.0,0.4,0.4,1.487
HPG,2025-11-14,15:11:05,HOSE,STOCK,26.55,28.4,24.7,26.5,26.95,26.5,26.9,26.811,26.5,26.95,26.5,26.9,26.811,22112200.0,592844420000.0,7920014.0,211920378000.0,0.35,0.35,1.3183
HPG,2025-11-13,15:11:04,HOSE,STOCK,27.0,28.85,25.15,27.0,27.05,26.55,26.55,26.739,27.0,27.05,26.55,26.55,26.739,18927500.0,506103825000.0,1170027.0,33470209500.0,-0.45,-0.45,-1.6667
HPG,2025-11-12,15:11:03,HOSE,STOCK,26.6,28.45,24.75,26.65,27.1,26.65,27.0,26.905,26.65,27.1,26.65,27.0,26.905,30662900.0,824988645000.0,4559024.0,121611294700.0,0.4,0.4,1.5038
