code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
MBB,2025-12-12,15:12:03,HOSE,STOCK,24.85,26.55,23.15,24.9,24.95,24.0,24.0,24.36,24.9,24.95,24.0,24.0,24.36,21849200.0,532240970000.0,21.0,528150.0,-0.85,-0.85,-3.4205
MBB,2025-12-11,15:12:03,HOSE,STOCK,25.15,26.9,23.4,25.25,25.3,24.7,24.85,25.016,25.25,25.3,24.7,24.85,25.016,15190600.0,380002185000.0,2000021.0,49996518700.0,-0.3,-0.3,-1.1928
MBB,2025-12-10,15:12:05,HOSE,STOCK,24.7,26.4,23.0,24.7,25.45,24.6,25.15,25.146,24.7,25.45,24.6,25.15,25.146,25865300.0,650419100000.0,1060021.0,26724531300.0,0.45,0.45,1.8219
MBB,2025-12-09,15:12:03,HOSE,STOCK,25.3,27.05,23.55,25.05,25.2,24.35,24.7,24.656,25.05,25.2,24.35,24.7,24.656,34378900.0,847642325000.0,140021.0,3507528150.0,-0.6,-0.6,-2.3715
MBB,2025-12-08,15:12:03,HOSE,STOCK,25.15,26.9,23.4,25.0,25.55,24.85,25.3,25.223,25.0,25.55,24.85,25.3,25.223,22616800.0,570471480000.0,21.0,539700.0,0.15,0.15,0.5964
MBB,2025-12-05,15:12:02,HOSE,STOCK,25.7,27.45,23.95,25.8,25.8,25.1,25.15,25.244,25.8,25.8,25.1,25.15,25.244,29444500.0,743306075000.0,871021.0,21974579550.0,-0.55,-0.55,-2.1401
MBB,2025-12-04,15:12:02,HOSE,STOCK,24.55,26.25,22.85,24.8,26.0,24.8,25.7,25.373,24.8,26.0,24.8,25.7,25.373,80906200.0,2052821135000.0,925451.0,23417270050.0,1.15,1.15,4.6843
MBB,2025-12-03,15:12:03,HOSE,STOCK,23.55,25.15,21.95,23.55,24.6,23.55,24.55,24.112,23.55,24.6,23.55,24.55,24.112,56674900.0,1366517490000.0,785239.0,18813855900.0,1.0,1.0,4.2463
MBB,2025-12-02,15:12:03,HOSE,STOCK,23.2,24.8,21.6,23.2,23.6,23.0,23.55,23.271,23.2,23.6,23.0,23.55,23.271,19166400.0,446013485000.0,21.0,488250.0,0.35,0.35,1.5086
MBB,2025-12-01,15:12:02,HOSE,STOCK,23.25,24.85,21.65,23.3,23.4,23.2,23.2,23.286,23.3,23.4,23.2,23.2,23.286,7796300.0,181542910000.0,21.0,493500.0,-0.05,-0.05,-0.2151
MBB,2025-11-28,15:11:03,HOSE,STOCK,23.5,25.1,21.9,23.5,23.5,23.25,23.25,23.346,23.5,23.5,23.25,23.25,23.346,11759400.0,274536900000.0,21.0,488250.0,-0.25,-0.25,-1.0638
MBB,2025-11-27,15:11:04,HOSE,STOCK,23.25,24.85,21.65,23.35,23.65,23.3,23.5,23.515,23.35,23.65,23.3,23.5,23.515,22892300.0,538311975000.0,100021.0,2325479850.0,0.25,0.25,1.0753
MBB,2025-11-26,15:11:02,HOSE,STOCK,22.85,24.4,21.3,22.9,23.45,22.85,23.25,23.152,22.9,23.45,22.85,23.25,23.152,21635300.0,500894000000.0,21.0,486150.0,0.4,0.4,1.7505
MBB,2025-11-25,15:11:03,HOSE,STOCK,23.15,24.75,21.55,23.2,23.3,22.8,22.85,23.022,23.2,23.3,22.8,22.85,23.022,18502700.0,425964885000.0,435021.0,10070737200.0,-0.3,-0.3,-1.2959
MBB,2025-11-24,15:11:03,HOSE,STOCK,23.2,24.8,21.6,23.25,23.4,23.05,23.15,23.174,23.25,23.4,23.05,23.15,23.174,10531000.0,244049405000.0,21.0,490350.0,-0.05,-0.05,-0.2155
MBB,2025-11-21,15:11:03,HOSE,STOCK,23.35,24.95,21.75,23.25,23.25,23.0,23.2,23.102,23.25,23.25,23.0,23.2,23.102,26669000.0,616112830000.0,178021.0,3871993500.0,-0.15,-0.15,-0.6424
MBB,2025-11-20,15:11:03,HOSE,STOCK,23.5,25.1,21.9,23.7,23.7,23.3,23.35,23.439,23.7,23.7,23.3,23.35,23.439,13622300.0,319297395000.0,1460000.0,34310000000.0,-0.15,-0.15,-0.6383
MBB,2025-11-19,15:11:03,HOSE,STOCK,23.7,25.35,22.05,23.75,23.8,23.4,23.5,23.598,23.75,23.8,23.4,23.5,23.598,16581700.0,391289985000.0,1072042.0,25740297500.0,-0.2,-0.2,-0.8439
MBB,2025-11-18,15:11:03,HOSE,STOCK,23.8,25.45,22.15,23.8,23.95,23.7,23.7,23.79,23.8,23.95,23.7,23.7,23.79,19492900.0,463732565000.0,20032.0,443755900.0,-0.1,-0.1,-0.4202
MBB,2025-11-17,15:11:03,HOSE,STOCK,23.5,25.1,21.9,23.6,23.95,23.6,23.8,23.754,23.6,23.95,23.6,23.8,23.754,16843400.0,400092615000.0,150021.0,3675493500.0,0.3,0.3,1.2766
MBB,2025-11-14,15:11:04,HOSE,STOCK,23.5,25.1,21.9,23.45,23.65,23.3,23.5,23.473,23.45,23.65,23.3,23.5,23.473,16560800.0,388726810000.0,21143.0,463069500.0,0.0,0.0,0.0
MBB,2025-11-13,15:11:03,HOSE,STOCK,23.7,25.35,22.05,23.75,23.8,23.5,23.5,23.615,23.75,23.8,23.5,23.5,23.615,19631300.0,463593650000.0,21.0,487200.0,-0.2,-0.2,-0.8439
MBB,2025-11-12,15:11:02,HOSE,STOCK,23.2,24.8,21.6,23.35,23.8,23.2,23.7,23.471,23.35,23.8,23.2,23.7,23.471,17528300.0,411415050000.0,103022.0,2230456700.0,0.5,0.5,2.1552
MBB,2025-11-11,15:11:03,HOSE,STOCK,23.1,24.7,21.5,23.15,23.35,23.0,23.2,23.177,23.15,23.35,23.0,23.2,23.177,15211100.0,352545735000.0,23.0,532300.0,0.1,0.1,0.4329
MBB,2025-11-10,15:11:03,HOSE,STOCK,23.3,24.9,21.7,23.3,23.6,23.05,23.1,23.305,23.3,23.6,23.05,23.1,23.305,17025200.0,396772995000.0,22.0,519400.0,-0.2,-0.2,-0.8584
MBB,2025-11-07,15:11:03,HOSE,STOCK,23.7,25.35,22.05,23.75,23.75,23.15,23.3,23.442,23.75,23.75,23.15,23.3,23.442,21326700.0,499938700000.0,21.0,501900.0,-0.4,-0.4,-1.6878
MBB,2025-11-06,15:11:02,HOSE,STOCK,23.9,25.55,22.25,24.0,24.1,23.6,23.7,23.792,24.0,24.1,23.6,23.7,23.792,10717900.0,254999310000.0,200022.0,4781326250.0,-0.2,-0.2,-0.8368
MBB,2025-11-05,15:11:02,HOSE,STOCK,24.0,25.65,22.35,24.0,24.1,23.8,23.9,23.973,24.0,24.1,23.8,23.9,23.973,12417500.0,297685445000.0,2617621.0,64067078300.0,-0.1,-0.1,-0.4167
MBB,2025-11-04,15:11:03,HOSE,STOCK,23.1,24.7,21.5,23.5,24.35,23.2,24.0,23.697,23.5,24.35,23.2,24.0,23.697,38226500.0,905837090000.0,521299.0,12384772600.0,0.9,0.9,3.8961
MBB,2025-11-03,15:11:03,HOSE,STOCK,23.6,25.25,21.95,23.7,24.0,23.1,23.1,23.628,23.7,24.0,23.1,23.1,23.628,29961200.0,707928555000.0,1415022.0,35272774900.0,-0.5,-0.5,-2.1186
MBB,2025-10-31,15:10:02,HOSE,STOCK,23.95,25.6,22.3,23.8,24.1,23.6,23.6,23.803,23.8,24.1,23.6,23.6,23.803,19849200.0,472470425000.0,417722.0,10099885650.0,-0.35,-0.35,-1.4614
MBB,2025-10-30,15:10:04,HOSE,STOCK,24.35,26.05,22.65,24.4,24.4,23.85,23.95,23.995,24.4,24.4,23.85,23.95,23.995,24498600.0,587852730000.0,2685021.0,64386479000.0,-0.4,-0.4,-1.6427
MBB,2025-10-29,15:10:02,HOSE,STOCK,24.0,25.65,22.35,24.2,24.6,24.05,24.35,24.288,24.2,24.6,24.05,24.35,24.288,24107400.0,585528125000.0,4372021.0,100220649800.0,0.35,0.35,1.4583
MBB,2025-10-28,15:10:04,HOSE,STOCK,23.8,25.45,22.15,23.8,24.0,23.15,24.0,23.505,23.8,24.0,23.15,24.0,23.505,49519800.0,1163981925000.0,23.0,554450.0,0.2,0.2,0.8403
MBB,2025-10-27,15:10:01,HOSE,STOCK,24.4,26.1,22.7,24.55,24.65,23.8,23.8,24.03,24.55,24.65,23.8,23.8,24.03,52326000.0,1257397390000.0,700003.0,17780075600.0,-0.6,-0.6,-2.459
