code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
MSN,2025-12-12,15:12:03,HOSE,STOCK,76.1,81.4,70.8,76.5,76.6,73.1,73.5,74.667,76.5,76.6,73.1,73.5,74.667,8979200.0,670451420000.0,929000.0,71663000000.0,-2.6,-2.6,-3.4166
MSN,2025-12-11,15:12:04,HOSE,STOCK,77.0,82.3,71.7,77.4,77.6,76.0,76.1,76.632,77.4,77.6,76.0,76.1,76.632,3520000.0,269743910000.0,20000.0,1450000000.0,-0.9,-0.9,-1.1688
MSN,2025-12-10,15:12:06,HOSE,STOCK,77.0,82.3,71.7,77.1,77.4,76.6,77.0,76.985,77.1,77.4,76.6,77.0,76.985,3186100.0,245282470000.0,929000.0,71683000000.0,0.0,0.0,0.0
MSN,2025-12-09,15:12:03,HOSE,STOCK,77.9,83.3,72.5,77.9,78.0,76.6,77.0,77.064,77.9,78.0,76.6,77.0,77.064,6841600.0,527240750000.0,0.0,0.0,-0.9,-0.9,-1.1553
MSN,2025-12-08,15:12:03,HOSE,STOCK,78.2,83.6,72.8,78.0,78.8,77.9,77.9,78.258,78.0,78.8,77.9,77.9,78.258,4073000.0,318745750000.0,12.0,873600.0,-0.3,-0.3,-0.3836
MSN,2025-12-05,15:12:03,HOSE,STOCK,79.9,85.4,74.4,80.2,80.6,78.2,78.2,79.173,80.2,80.6,78.2,78.2,79.173,6658500.0,527175920000.0,3.0,223200.0,-1.7,-1.7,-2.1277
MSN,2025-12-04,15:12:03,HOSE,STOCK,80.6,86.2,75.0,81.3,81.3,79.9,79.9,80.438,81.3,81.3,79.9,79.9,80.438,5309300.0,427069640000.0,470000.0,36976640000.0,-0.7,-0.7,-0.8685
MSN,2025-12-03,15:12:03,HOSE,STOCK,78.6,84.1,73.1,79.2,81.2,78.9,80.6,80.36,79.2,81.2,78.9,80.6,80.36,12175800.0,978442460000.0,204000.0,15814000000.0,2.0,2.0,2.5445
MSN,2025-12-02,15:12:03,HOSE,STOCK,78.8,84.3,73.3,78.9,79.5,78.0,78.6,78.769,78.9,79.5,78.0,78.6,78.769,4648900.0,366188640000.0,450000.0,35370000000.0,-0.2,-0.2,-0.2538
MSN,2025-12-01,15:12:03,HOSE,STOCK,77.4,82.8,72.0,77.8,79.2,77.7,78.8,78.465,77.8,79.2,77.7,78.8,78.465,5362600.0,420778780000.0,1480012.0,117120864000.0,1.4,1.4,1.8088
