code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
MWG,2025-12-12,15:12:03,HOSE,STOCK,82.3,88.0,76.6,82.3,82.3,78.5,78.5,80.281,82.3,82.3,78.5,78.5,80.281,8896500.0,714223260000.0,1596000.0,130703954000.0,-3.8,-3.8,-4.6173
MWG,2025-12-11,15:12:04,HOSE,STOCK,83.0,88.8,77.2,83.0,83.6,82.3,82.3,82.787,83.0,83.6,82.3,82.3,82.787,3015900.0,249676030000.0,514008.0,43021495600.0,-0.7,-0.7,-0.8434
MWG,2025-12-10,15:12:06,HOSE,STOCK,84.0,89.8,78.2,83.2,84.4,82.5,83.0,83.444,83.2,84.4,82.5,83.0,83.444,4887900.0,407863670000.0,1362000.0,115080429000.0,-1.0,-1.0,-1.1905
MWG,2025-12-09,15:12:03,HOSE,STOCK,84.9,90.8,79.0,84.5,84.5,82.5,84.0,83.444,84.5,84.5,82.5,84.0,83.444,6672700.0,556794620000.0,626000.0,53412165000.0,-0.9,-0.9,-1.0601
MWG,2025-12-08,15:12:03,HOSE,STOCK,85.1,91.0,79.2,84.3,85.1,83.5,84.9,84.367,84.3,85.1,83.5,84.9,84.367,4614500.0,389311150000.0,1030000.0,87544200000.0,-0.2,-0.2,-0.235
MWG,2025-12-05,15:12:03,HOSE,STOCK,85.8,91.8,79.8,85.7,85.7,84.1,85.1,84.956,85.7,85.7,84.1,85.1,84.956,6818100.0,579237860000.0,594000.0,49976672000.0,-0.7,-0.7,-0.8159
MWG,2025-12-04,15:12:03,HOSE,STOCK,84.7,90.6,78.8,85.0,86.2,84.6,85.8,85.502,85.0,86.2,84.6,85.8,85.502,7082600.0,605574420000.0,1983000.0,163258360000.0,1.1,1.1,1.2987
MWG,2025-12-03,15:12:04,HOSE,STOCK,80.0,85.6,74.4,80.2,85.5,80.2,84.7,83.048,80.2,85.5,80.2,84.7,83.048,15177100.0,1260434950000.0,136000.0,11288000000.0,4.7,4.7,5.875
MWG,2025-12-02,15:12:03,HOSE,STOCK,80.0,85.6,74.4,79.8,80.1,79.3,80.0,79.776,79.8,80.1,79.3,80.0,79.776,3953000.0,315356060000.0,858500.0,68502800000.0,0.0,0.0,0.0
MWG,2025-12-01,15:12:03,HOSE,STOCK,79.9,85.4,74.4,79.7,80.1,79.5,80.0,79.873,79.7,80.1,79.5,80.0,79.873,2955600.0,236072610000.0,208000.0,16474300000.0,0.1,0.1,0.1252
