code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
NVL,2025-12-12,15:12:03,HOSE,STOCK,14.35,15.35,13.35,14.35,14.5,13.35,13.35,13.806,14.35,14.5,13.35,13.35,13.806,12520500.0,172861530000.0,0.0,0.0,-1.0,-1.0,-6.9686
NVL,2025-12-11,15:12:04,HOSE,STOCK,14.45,15.45,13.45,14.4,14.75,14.3,14.35,14.468,14.4,14.75,14.3,14.35,14.468,4059500.0,58733935000.0,0.0,0.0,-0.1,-0.1,-0.692
NVL,2025-12-10,15:12:06,HOSE,STOCK,14.45,15.45,13.45,14.5,14.5,14.15,14.45,14.292,14.5,14.5,14.15,14.45,14.292,5168900.0,73872550000.0,0.0,0.0,0.0,0.0,0.0
NVL,2025-12-09,15:12:04,HOSE,STOCK,14.7,15.7,13.7,14.6,14.6,14.1,14.45,14.295,14.6,14.6,14.1,14.45,14.295,8493800.0,121414670000.0,0.0,0.0,-0.25,-0.25,-1.7007
NVL,2025-12-08,15:12:04,HOSE,STOCK,14.85,15.85,13.85,14.85,14.85,14.4,14.7,14.578,14.85,14.85,14.4,14.7,14.578,6037300.0,88011605000.0,0.0,0.0,-0.15,-0.15,-1.0101
NVL,2025-12-05,15:12:03,HOSE,STOCK,15.0,16.05,13.95,15.0,15.05,14.65,14.85,14.86,15.0,15.05,14.65,14.85,14.86,5796000.0,86128295000.0,0.0,0.0,-0.15,-0.15,-1.0
NVL,2025-12-04,15:12:03,HOSE,STOCK,15.0,16.05,13.95,15.1,15.25,14.95,15.0,15.067,15.1,15.25,14.95,15.0,15.067,6945200.0,104642710000.0,0.0,0.0,0.0,0.0,0.0
NVL,2025-12-03,15:12:04,HOSE,STOCK,14.85,15.85,13.85,15.1,15.15,14.8,15.0,14.977,15.1,15.15,14.8,15.0,14.977,6326400.0,94750555000.0,0.0,0.0,0.15,0.15,1.0101
NVL,2025-12-02,15:12:03,HOSE,STOCK,14.75,15.75,13.75,14.75,14.9,14.25,14.85,14.585,14.75,14.9,14.25,14.85,14.585,10767400.0,157037205000.0,0.0,0.0,0.1,0.1,0.678
NVL,2025-12-01,15:12:03,HOSE,STOCK,14.8,15.8,13.8,14.85,15.2,14.6,14.75,14.783,14.85,15.2,14.6,14.75,14.783,5734500.0,84775075000.0,6000000.0,88800000000.0,-0.05,-0.05,-0.3378
NVL,2025-11-28,15:11:04,HOSE,STOCK,14.85,15.85,13.85,14.8,15.05,14.1,14.8,14.678,14.8,15.05,14.1,14.8,14.678,12700600.0,186420240000.0,0.0,0.0,-0.05,-0.05,-0.3367
NVL,2025-11-27,15:11:05,HOSE,STOCK,15.5,16.55,14.45,15.55,15.55,14.8,14.85,15.007,15.55,15.55,14.8,14.85,15.007,16187400.0,242918930000.0,0.0,0.0,-0.65,-0.65,-4.1935
NVL,2025-11-26,15:11:03,HOSE,STOCK,15.3,16.35,14.25,15.35,15.7,15.3,15.5,15.453,15.35,15.7,15.3,15.5,15.453,10760000.0,166271790000.0,0.0,0.0,0.2,0.2,1.3072
NVL,2025-11-25,15:11:04,HOSE,STOCK,15.8,16.9,14.7,15.8,15.9,15.2,15.3,15.51,15.8,15.9,15.2,15.3,15.51,11227900.0,174143845000.0,0.0,0.0,-0.5,-0.5,-3.1646
NVL,2025-11-24,15:11:03,HOSE,STOCK,15.4,16.45,14.35,15.65,16.1,15.5,15.8,15.841,15.65,16.1,15.5,15.8,15.841,19922400.0,315589445000.0,30000.0,430500000.0,0.4,0.4,2.5974
NVL,2025-11-21,15:11:04,HOSE,STOCK,15.1,16.15,14.05,14.9,15.55,14.9,15.4,15.278,14.9,15.55,14.9,15.4,15.278,11324600.0,173011920000.0,0.0,0.0,0.3,0.3,1.9868
NVL,2025-11-20,15:11:03,HOSE,STOCK,15.65,16.7,14.6,15.6,15.7,14.95,15.1,15.266,15.6,15.7,14.95,15.1,15.266,13183000.0,201256380000.0,80000.0,1280000000.0,-0.55,-0.55,-3.5144
