code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
PDR,2025-12-12,15:12:03,HOSE,STOCK,21.15,22.6,19.7,21.15,21.2,19.7,19.7,20.182,21.15,21.2,19.7,19.7,20.182,18105800.0,365419370000.0,0.0,0.0,-1.45,-1.45,-6.8558
PDR,2025-12-11,15:12:04,HOSE,STOCK,21.4,22.85,19.95,21.4,21.5,20.9,21.15,21.14,21.4,21.5,20.9,21.15,21.14,7173300.0,151644750000.0,234000.0,5007600000.0,-0.25,-0.25,-1.1682
PDR,2025-12-10,15:12:07,HOSE,STOCK,21.85,23.35,20.35,21.65,21.85,21.2,21.4,21.391,21.65,21.85,21.2,21.4,21.391,8328300.0,178146920000.0,0.0,0.0,-0.45,-0.45,-2.0595
PDR,2025-12-09,15:12:04,HOSE,STOCK,22.05,23.55,20.55,21.75,21.95,21.1,21.85,21.44,21.75,21.95,21.1,21.85,21.44,10444200.0,223926535000.0,234000.0,5159700000.0,-0.2,-0.2,-0.907
PDR,2025-12-08,15:12:04,HOSE,STOCK,22.2,23.75,20.65,22.25,22.25,21.6,22.05,21.832,22.25,22.25,21.6,22.05,21.832,7160900.0,156339985000.0,0.0,0.0,-0.15,-0.15,-0.6757
PDR,2025-12-05,15:12:03,HOSE,STOCK,22.6,24.15,21.05,22.65,22.65,22.1,22.2,22.246,22.65,22.65,22.1,22.2,22.246,5016500.0,111597175000.0,0.0,0.0,-0.4,-0.4,-1.7699
PDR,2025-12-04,15:12:03,HOSE,STOCK,22.15,23.7,20.6,22.25,22.7,22.2,22.6,22.44,22.25,22.7,22.2,22.6,22.44,9604800.0,215535545000.0,184000.0,4075600000.0,0.45,0.45,2.0316
PDR,2025-12-03,15:12:04,HOSE,STOCK,22.0,23.5,20.5,22.0,22.2,21.6,22.15,21.948,22.0,22.2,21.6,22.15,21.948,5713000.0,125389500000.0,50000.0,1100000000.0,0.15,0.15,0.6818
PDR,2025-12-02,15:12:03,HOSE,STOCK,21.9,23.4,20.4,21.95,22.0,21.05,22.0,21.448,21.95,22.0,21.05,22.0,21.448,10794200.0,231518860000.0,175800.0,3850020000.0,0.1,0.1,0.4566
PDR,2025-12-01,15:12:03,HOSE,STOCK,22.5,24.05,20.95,22.55,22.55,21.9,21.9,22.114,22.55,22.55,21.9,21.9,22.114,5163300.0,114180685000.0,0.0,0.0,-0.6,-0.6,-2.6667
PDR,2025-11-28,15:11:04,HOSE,STOCK,22.5,24.05,20.95,22.3,22.7,21.95,22.5,22.29,22.3,22.7,21.95,22.5,22.29,7464900.0,166389070000.0,175000.0,3937500000.0,0.0,0.0,0.0
PDR,2025-11-27,15:11:05,HOSE,STOCK,22.6,24.15,21.05,22.65,22.7,22.1,22.5,22.368,22.65,22.7,22.1,22.5,22.368,5251400.0,117463590000.0,58000.0,1310800000.0,-0.1,-0.1,-0.4425
PDR,2025-11-26,15:11:03,HOSE,STOCK,21.8,23.3,20.3,21.8,22.6,21.75,22.6,22.287,21.8,22.6,21.75,22.6,22.287,8068700.0,179830980000.0,155000.0,3379000000.0,0.8,0.8,3.6697
PDR,2025-11-25,15:11:04,HOSE,STOCK,22.3,23.85,20.75,22.3,22.7,21.6,21.8,22.13,22.3,22.7,21.6,21.8,22.13,9538700.0,211092150000.0,0.0,0.0,-0.5,-0.5,-2.2422
PDR,2025-11-24,15:11:04,HOSE,STOCK,22.6,24.15,21.05,22.75,22.8,22.3,22.3,22.444,22.75,22.8,22.3,22.3,22.444,3773600.0,84693900000.0,0.0,0.0,-0.3,-0.3,-1.3274
PDR,2025-11-21,15:11:04,HOSE,STOCK,22.8,24.35,21.25,22.45,22.75,22.25,22.6,22.493,22.45,22.75,22.25,22.6,22.493,4923700.0,110749980000.0,103000.0,2348400000.0,-0.2,-0.2,-0.8772
PDR,2025-11-20,15:11:03,HOSE,STOCK,22.8,24.35,21.25,22.8,22.9,22.1,22.8,22.441,22.8,22.9,22.1,22.8,22.441,7139800.0,160227590000.0,150000.0,3420000000.0,0.0,0.0,0.0
PDR,2025-11-19,15:11:04,HOSE,STOCK,23.0,24.6,21.4,23.0,23.25,22.15,22.8,22.701,23.0,23.25,22.15,22.8,22.701,8482000.0,192552405000.0,0.0,0.0,-0.2,-0.2,-0.8696
PDR,2025-11-18,15:11:03,HOSE,STOCK,23.05,24.65,21.45,23.1,23.35,22.8,23.0,23.051,23.1,23.35,22.8,23.0,23.051,7818600.0,180223305000.0,80000.0,1844000000.0,-0.05,-0.05,-0.2169
PDR,2025-11-17,15:11:03,HOSE,STOCK,22.2,23.75,20.65,22.35,23.25,22.25,23.05,22.807,22.35,23.25,22.25,23.05,22.807,14150500.0,322729880000.0,60000.0,1332000000.0,0.85,0.85,3.8288
PDR,2025-11-14,15:11:05,HOSE,STOCK,22.0,23.5,20.5,21.75,22.5,21.75,22.2,22.167,21.75,22.5,21.75,22.2,22.167,7091000.0,157189365000.0,80000.0,1760000000.0,0.2,0.2,0.9091
PDR,2025-11-13,15:11:04,HOSE,STOCK,22.2,23.75,20.65,22.1,22.1,21.65,22.0,21.954,22.1,22.1,21.65,22.0,21.954,5694500.0,125018160000.0,30000.0,666000000.0,-0.2,-0.2,-0.9009
PDR,2025-11-12,15:11:03,HOSE,STOCK,21.2,22.65,19.75,21.2,22.2,21.1,22.2,21.769,21.2,22.2,21.1,22.2,21.769,9427000.0,205214535000.0,60000.0,1272000000.0,1.0,1.0,4.717
PDR,2025-11-11,15:11:04,HOSE,STOCK,20.8,22.25,19.35,21.0,21.2,20.5,21.2,20.836,21.0,21.2,20.5,21.2,20.836,7228400.0,150607910000.0,40000.0,832000000.0,0.4,0.4,1.9231
PDR,2025-11-10,15:11:04,HOSE,STOCK,21.15,22.6,19.7,20.85,21.4,20.7,20.8,20.988,20.85,21.4,20.7,20.8,20.988,7539800.0,158242225000.0,0.0,0.0,-0.35,-0.35,-1.6548
