code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
PLX,2025-12-12,15:12:03,HOSE,STOCK,34.4,36.8,32.0,34.4,34.45,33.5,33.7,33.986,34.4,34.45,33.5,33.7,33.986,1618800.0,55016540000.0,0.0,0.0,-0.7,-0.7,-2.0349
PLX,2025-12-11,15:12:04,HOSE,STOCK,34.6,37.0,32.2,34.7,34.8,34.35,34.4,34.483,34.7,34.8,34.35,34.4,34.483,898200.0,30972495000.0,0.0,0.0,-0.2,-0.2,-0.578
PLX,2025-12-10,15:12:07,HOSE,STOCK,35.0,37.45,32.55,35.1,35.1,34.5,34.6,34.808,35.1,35.1,34.5,34.6,34.808,1073800.0,37376415000.0,0.0,0.0,-0.4,-0.4,-1.1429
PLX,2025-12-09,15:12:04,HOSE,STOCK,36.05,38.55,33.55,35.8,35.8,34.9,35.0,35.191,35.8,35.8,34.9,35.0,35.191,1603100.0,56414945000.0,0.0,0.0,-1.05,-1.05,-2.9126
PLX,2025-12-08,15:12:04,HOSE,STOCK,34.4,36.8,32.0,34.45,36.3,34.4,36.05,35.508,34.45,36.3,34.4,36.05,35.508,3941600.0,139956985000.0,0.0,0.0,1.65,1.65,4.7965
PLX,2025-12-05,15:12:03,HOSE,STOCK,34.95,37.35,32.55,34.95,34.95,34.3,34.4,34.513,34.95,34.95,34.3,34.4,34.513,1113500.0,38430500000.0,0.0,0.0,-0.55,-0.55,-1.5737
PLX,2025-12-04,15:12:03,HOSE,STOCK,34.6,37.0,32.2,34.8,35.1,34.55,34.95,34.848,34.8,35.1,34.55,34.95,34.848,1749600.0,60970670000.0,0.0,0.0,0.35,0.35,1.0116
PLX,2025-12-03,15:12:04,HOSE,STOCK,34.85,37.25,32.45,35.2,35.35,34.55,34.6,34.835,35.2,35.35,34.55,34.6,34.835,1597900.0,55662220000.0,0.0,0.0,-0.25,-0.25,-0.7174
PLX,2025-12-02,15:12:03,HOSE,STOCK,34.45,36.85,32.05,34.4,34.9,34.2,34.85,34.574,34.4,34.9,34.2,34.85,34.574,1938700.0,67029440000.0,0.0,0.0,0.4,0.4,1.1611
PLX,2025-12-01,15:12:03,HOSE,STOCK,33.9,36.25,31.55,33.9,34.5,33.9,34.45,34.27,33.9,34.5,33.9,34.45,34.27,1418900.0,48625995000.0,0.0,0.0,0.55,0.55,1.6224
PLX,2025-11-28,15:11:04,HOSE,STOCK,34.0,36.35,31.65,34.0,34.05,33.7,33.9,33.867,34.0,34.05,33.7,33.9,33.867,913400.0,30933960000.0,0.0,0.0,-0.1,-0.1,-0.2941
PLX,2025-11-27,15:11:05,HOSE,STOCK,33.85,36.2,31.5,33.85,34.1,33.7,34.0,33.923,33.85,34.1,33.7,34.0,33.923,684000.0,23203145000.0,0.0,0.0,0.15,0.15,0.4431
PLX,2025-11-26,15:11:03,HOSE,STOCK,33.5,35.8,31.2,33.55,34.05,33.55,33.85,33.804,33.55,34.05,33.55,33.85,33.804,592900.0,20042605000.0,0.0,0.0,0.35,0.35,1.0448
PLX,2025-11-25,15:11:04,HOSE,STOCK,33.85,36.2,31.5,33.85,33.95,33.45,33.5,33.677,33.85,33.95,33.45,33.5,33.677,1547200.0,52105210000.0,0.0,0.0,-0.35,-0.35,-1.034
PLX,2025-11-24,15:11:03,HOSE,STOCK,33.95,36.3,31.6,33.9,34.1,33.75,33.85,33.892,33.9,34.1,33.75,33.85,33.892,806300.0,27326990000.0,0.0,0.0,-0.1,-0.1,-0.2946
PLX,2025-11-21,15:11:04,HOSE,STOCK,34.4,36.8,32.0,34.25,34.35,33.8,33.95,33.986,34.25,34.35,33.8,33.95,33.986,2146100.0,72936925000.0,0.0,0.0,-0.45,-0.45,-1.3081
PLX,2025-11-20,15:11:03,HOSE,STOCK,34.7,37.1,32.3,34.75,34.85,34.3,34.4,34.435,34.75,34.85,34.3,34.4,34.435,1406200.0,48422035000.0,0.0,0.0,-0.3,-0.3,-0.8646
PLX,2025-11-19,15:11:03,HOSE,STOCK,34.55,36.95,32.15,34.55,34.85,34.4,34.7,34.653,34.55,34.85,34.4,34.7,34.653,1997700.0,69226310000.0,0.0,0.0,0.15,0.15,0.4342
PLX,2025-11-18,15:11:03,HOSE,STOCK,34.7,37.1,32.3,34.65,35.1,34.55,34.55,34.828,34.65,35.1,34.55,34.55,34.828,2769100.0,96442900000.0,0.0,0.0,-0.15,-0.15,-0.4323
PLX,2025-11-17,15:11:03,HOSE,STOCK,34.5,36.9,32.1,34.55,34.7,34.4,34.7,34.544,34.55,34.7,34.4,34.7,34.544,1654200.0,57142540000.0,0.0,0.0,0.2,0.2,0.5797
PLX,2025-11-14,15:11:05,HOSE,STOCK,34.5,36.9,32.1,34.55,34.85,34.4,34.5,34.601,34.55,34.85,34.4,34.5,34.601,1409500.0,48769430000.0,0.0,0.0,0.0,0.0,0.0
PLX,2025-11-13,15:11:04,HOSE,STOCK,34.05,36.4,31.7,34.05,35.05,34.0,34.5,34.591,34.05,35.05,34.0,34.5,34.591,2597000.0,89833200000.0,0.0,0.0,0.45,0.45,1.3216
PLX,2025-11-12,15:11:03,HOSE,STOCK,33.75,36.1,31.4,34.0,34.05,33.75,34.05,33.917,34.0,34.05,33.75,34.05,33.917,1081700.0,36688450000.0,0.0,0.0,0.3,0.3,0.8889
