code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
POW,2025-12-12,15:12:03,HOSE,STOCK,12.1,12.9,11.3,12.1,12.15,11.5,11.55,11.752,12.1,12.15,11.5,11.55,11.752,8617100.0,101271065000.0,9901000.0,122454550000.0,-0.55,-0.55,-4.5455
POW,2025-12-11,15:12:04,HOSE,STOCK,12.3,13.15,11.45,12.35,12.35,12.05,12.1,12.164,12.35,12.35,12.05,12.1,12.164,3715500.0,45196720000.0,0.0,0.0,-0.2,-0.2,-1.626
POW,2025-12-10,15:12:07,HOSE,STOCK,12.0,12.8,11.2,12.3,12.55,12.2,12.3,12.394,12.3,12.55,12.2,12.3,12.394,8521300.0,105615830000.0,9880000.0,122512000000.0,0.3,0.3,2.5
POW,2025-12-09,15:12:04,HOSE,STOCK,14.8,15.8,13.8,14.85,14.95,14.5,14.52,14.662,12.274,12.356,11.984,11.984,12.118,14788000.0,216822505000.0,0.0,0.0,-0.28,-0.2311,-1.8919
POW,2025-12-08,15:12:04,HOSE,STOCK,15.05,16.1,14.0,15.15,15.2,14.8,14.8,14.93,12.521,12.563,12.232,12.232,12.34,8508300.0,127024965000.0,0.0,0.0,-0.25,-0.2066,-1.6611
POW,2025-12-05,15:12:03,HOSE,STOCK,15.05,16.1,14.0,15.1,15.3,15.0,15.05,15.118,12.48,12.645,12.398,12.439,12.495,8142400.0,123095340000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-12-04,15:12:03,HOSE,STOCK,14.85,15.85,13.85,14.9,15.3,14.9,15.05,15.062,12.315,12.645,12.315,12.439,12.449,9212900.0,138762040000.0,0.0,0.0,0.2,0.1653,1.3468
POW,2025-12-03,15:12:04,HOSE,STOCK,14.9,15.9,13.9,15.05,15.05,14.85,14.85,14.922,12.439,12.439,12.274,12.274,12.333,5478600.0,81752625000.0,0.0,0.0,-0.05,-0.0413,-0.3356
POW,2025-12-02,15:12:03,HOSE,STOCK,14.9,15.9,13.9,14.95,15.2,14.7,14.9,14.909,12.356,12.563,12.15,12.315,12.322,9647400.0,143831865000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-12-01,15:12:03,HOSE,STOCK,15.25,16.3,14.2,15.3,15.35,14.9,14.9,15.078,12.645,12.687,12.315,12.315,12.462,7348700.0,110803725000.0,0.0,0.0,-0.35,-0.2893,-2.2951
POW,2025-11-28,15:11:04,HOSE,STOCK,15.25,16.3,14.2,15.45,15.8,15.25,15.25,15.524,12.769,13.059,12.604,12.604,12.831,12370000.0,192028375000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-11-27,15:11:05,HOSE,STOCK,15.2,16.25,14.15,15.35,15.4,15.15,15.25,15.283,12.687,12.728,12.521,12.604,12.631,7491700.0,114494340000.0,0.0,0.0,0.05,0.0413,0.3289
POW,2025-11-26,15:11:03,HOSE,STOCK,14.8,15.8,13.8,14.95,15.2,14.9,15.2,15.092,12.356,12.563,12.315,12.563,12.474,8180100.0,123456670000.0,0.0,0.0,0.4,0.3306,2.7027
POW,2025-11-25,15:11:04,HOSE,STOCK,15.1,16.15,14.05,15.25,15.25,14.8,14.8,15.006,12.604,12.604,12.232,12.232,12.402,7901900.0,118576075000.0,0.0,0.0,-0.3,-0.2479,-1.9868
POW,2025-11-24,15:11:03,HOSE,STOCK,14.95,15.95,13.95,15.0,15.4,14.95,15.1,15.234,12.398,12.728,12.356,12.48,12.591,9268600.0,141202475000.0,0.0,0.0,0.15,0.124,1.0033
POW,2025-11-21,15:11:04,HOSE,STOCK,14.95,15.95,13.95,15.0,15.2,14.8,14.95,14.963,12.398,12.563,12.232,12.356,12.367,8454000.0,126500560000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-11-20,15:11:03,HOSE,STOCK,14.9,15.9,13.9,14.95,15.05,14.8,14.95,14.939,12.356,12.439,12.232,12.356,12.347,4134300.0,61763010000.0,0.0,0.0,0.05,0.0413,0.3356
POW,2025-11-19,15:11:03,HOSE,STOCK,15.1,16.15,14.05,15.05,15.15,14.85,14.9,14.97,12.439,12.521,12.274,12.315,12.373,4885800.0,73139205000.0,0.0,0.0,-0.2,-0.1653,-1.3245
POW,2025-11-18,15:11:03,HOSE,STOCK,15.3,16.35,14.25,15.2,15.3,14.95,15.1,15.099,12.563,12.645,12.356,12.48,12.479,6155000.0,92936525000.0,0.0,0.0,-0.2,-0.1653,-1.3072
POW,2025-11-17,15:11:03,HOSE,STOCK,14.9,15.9,13.9,15.05,15.4,14.9,15.3,15.129,12.439,12.728,12.315,12.645,12.504,10595800.0,160303520000.0,0.0,0.0,0.4,0.3306,2.6846
POW,2025-11-14,15:11:05,HOSE,STOCK,14.7,15.7,13.7,14.65,15.05,14.65,14.9,14.867,12.108,12.439,12.108,12.315,12.288,9687100.0,144020975000.0,0.0,0.0,0.2,0.1653,1.3605
POW,2025-11-13,15:11:04,HOSE,STOCK,14.25,15.2,13.3,14.3,14.85,14.25,14.7,14.649,11.819,12.274,11.778,12.15,12.107,12099700.0,177251335000.0,0.0,0.0,0.45,0.3719,3.1579
POW,2025-11-12,15:11:03,HOSE,STOCK,14.05,15.0,13.1,14.1,14.25,14.05,14.25,14.153,11.654,11.778,11.612,11.778,11.697,4910800.0,69504005000.0,0.0,0.0,0.2,0.1653,1.4235
POW,2025-11-11,15:11:04,HOSE,STOCK,14.1,15.05,13.15,14.15,14.3,14.0,14.05,14.091,11.695,11.819,11.571,11.612,11.646,3352400.0,47238980000.0,0.0,0.0,-0.05,-0.0413,-0.3546
POW,2025-11-10,15:11:03,HOSE,STOCK,14.2,15.15,13.25,14.1,14.4,14.0,14.1,14.177,11.654,11.902,11.571,11.654,11.717,4369800.0,61950935000.0,0.0,0.0,-0.1,-0.0827,-0.7042
POW,2025-11-07,15:11:03,HOSE,STOCK,14.55,15.55,13.55,14.6,14.65,14.05,14.2,14.349,12.067,12.108,11.612,11.736,11.859,6818400.0,97838605000.0,0.0,0.0,-0.35,-0.2893,-2.4055
POW,2025-11-06,15:11:03,HOSE,STOCK,14.7,15.7,13.7,14.75,14.8,14.5,14.55,14.628,12.191,12.232,11.984,12.026,12.09,4125400.0,60347050000.0,0.0,0.0,-0.15,-0.124,-1.0204
POW,2025-11-05,15:11:02,HOSE,STOCK,14.25,15.2,13.3,14.2,14.9,14.1,14.7,14.604,11.736,12.315,11.654,12.15,12.07,12731600.0,185931705000.0,0.0,0.0,0.45,0.3719,3.1579
POW,2025-11-04,15:11:04,HOSE,STOCK,14.25,15.2,13.3,14.3,14.35,13.7,14.25,14.046,11.819,11.86,11.323,11.778,11.609,6586300.0,92513725000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-11-03,15:11:03,HOSE,STOCK,14.35,15.35,13.35,14.45,14.6,14.25,14.25,14.395,11.943,12.067,11.778,11.778,11.897,5334200.0,76783770000.0,0.0,0.0,-0.1,-0.0827,-0.6969
POW,2025-10-31,15:10:03,HOSE,STOCK,14.2,15.15,13.25,14.35,14.65,14.35,14.35,14.483,11.86,12.108,11.86,11.86,11.97,10117100.0,146529605000.0,0.0,0.0,0.15,0.124,1.0563
POW,2025-10-30,15:10:05,HOSE,STOCK,14.3,15.3,13.3,14.35,14.35,14.0,14.2,14.185,11.86,11.86,11.571,11.736,11.724,4839800.0,68654115000.0,0.0,0.0,-0.1,-0.0826,-0.6993
POW,2025-10-29,15:10:03,HOSE,STOCK,13.85,14.8,12.9,13.9,14.4,13.8,14.3,14.212,11.488,11.902,11.406,11.819,11.746,11214600.0,159377590000.0,0.0,0.0,0.45,0.3719,3.2491
POW,2025-10-28,15:10:05,HOSE,STOCK,13.85,14.8,12.9,13.9,13.9,13.5,13.85,13.698,11.488,11.488,11.158,11.447,11.321,4519700.0,61909025000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-10-27,15:10:02,HOSE,STOCK,13.4,14.3,12.5,13.45,13.85,13.45,13.85,13.676,11.116,11.447,11.116,11.447,11.303,8312700.0,113681650000.0,0.0,0.0,0.45,0.3719,3.3582
POW,2025-10-24,15:10:04,HOSE,STOCK,13.55,14.45,12.65,13.55,13.6,13.15,13.4,13.365,11.199,11.24,10.868,11.075,11.046,6220200.0,83131715000.0,0.0,0.0,-0.15,-0.124,-1.107
POW,2025-10-23,15:10:02,HOSE,STOCK,13.55,14.45,12.65,13.6,13.65,13.45,13.55,13.54,11.24,11.282,11.116,11.199,11.191,3036300.0,41111655000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-10-22,15:10:03,HOSE,STOCK,13.35,14.25,12.45,13.5,13.65,13.35,13.55,13.472,11.158,11.282,11.034,11.199,11.135,5135900.0,69189965000.0,0.0,0.0,0.2,0.1653,1.4981
POW,2025-10-21,15:10:03,HOSE,STOCK,13.2,14.1,12.3,13.15,13.4,12.9,13.35,13.174,10.868,11.075,10.662,11.034,10.888,10150100.0,133721445000.0,0.0,0.0,0.15,0.124,1.1364
POW,2025-10-20,15:10:03,HOSE,STOCK,14.15,15.1,13.2,14.15,14.25,13.2,13.2,13.571,11.695,11.778,10.91,10.91,11.216,14891800.0,202090335000.0,0.0,0.0,-0.95,-0.7852,-6.7138
POW,2025-10-17,15:10:03,HOSE,STOCK,14.35,15.35,13.35,14.4,14.5,14.15,14.15,14.316,11.902,11.984,11.695,11.695,11.832,7242900.0,103689445000.0,0.0,0.0,-0.2,-0.1653,-1.3937
POW,2025-10-16,15:10:02,HOSE,STOCK,14.3,15.3,13.3,14.3,14.45,14.25,14.35,14.322,11.819,11.943,11.778,11.86,11.837,6417600.0,91912595000.0,0.0,0.0,0.05,0.0413,0.3497
POW,2025-10-15,15:10:03,HOSE,STOCK,14.35,15.35,13.35,14.5,14.55,14.25,14.3,14.355,11.984,12.026,11.778,11.819,11.864,6032300.0,86590845000.0,0.0,0.0,-0.05,-0.0413,-0.3484
POW,2025-10-14,15:10:03,HOSE,STOCK,14.35,15.35,13.35,14.45,14.65,14.3,14.35,14.451,11.943,12.108,11.819,11.86,11.944,7384000.0,106703610000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-10-13,15:10:02,HOSE,STOCK,14.6,15.6,13.6,14.4,14.45,14.2,14.35,14.353,11.902,11.943,11.736,11.86,11.863,6032900.0,86590940000.0,0.0,0.0,-0.25,-0.2066,-1.7123
POW,2025-10-10,15:10:03,HOSE,STOCK,14.6,15.6,13.6,14.7,14.7,14.55,14.6,14.606,12.15,12.15,12.026,12.067,12.072,5419000.0,79148625000.0,0.0,0.0,0.0,0.0,0.0
POW,2025-10-09,15:10:04,HOSE,STOCK,14.35,15.35,13.35,14.4,14.6,14.2,14.6,14.408,11.902,12.067,11.736,12.067,11.908,6528500.0,94062555000.0,0.0,0.0,0.25,0.2066,1.7422
POW,2025-10-08,15:10:04,HOSE,STOCK,14.3,15.3,13.3,14.5,14.55,14.25,14.35,14.369,11.984,12.026,11.778,11.86,11.876,5082900.0,73036550000.0,0.0,0.0,0.05,0.0413,0.3497
POW,2025-10-07,15:10:03,HOSE,STOCK,14.45,15.45,13.45,14.65,14.65,14.3,14.3,14.471,12.108,12.108,11.819,11.819,11.96,5732300.0,82949400000.0,0.0,0.0,-0.15,-0.124,-1.0381
POW,2025-10-06,15:10:04,HOSE,STOCK,14.05,15.0,13.1,14.1,14.45,14.1,14.45,14.319,11.654,11.943,11.654,11.943,11.835,5924100.0,84827820000.0,0.0,0.0,0.4,0.3306,2.847
POW,2025-10-03,15:10:03,HOSE,STOCK,14.2,15.15,13.25,14.25,14.25,13.95,14.05,14.073,11.778,11.778,11.53,11.612,11.631,7181300.0,101059585000.0,0.0,0.0,-0.15,-0.124,-1.0563
POW,2025-10-02,15:10:03,HOSE,STOCK,14.4,15.4,13.4,14.45,14.55,14.2,14.2,14.376,11.943,12.026,11.736,11.736,11.882,4621000.0,66430655000.0,0.0,0.0,-0.2,-0.1653,-1.3889
POW,2025-10-01,15:10:02,HOSE,STOCK,14.35,15.35,13.35,14.4,14.55,14.35,14.4,14.448,11.902,12.026,11.86,11.902,11.941,5112300.0,73862275000.0,0.0,0.0,0.05,0.0413,0.3484
POW,2025-09-30,15:09:02,HOSE,STOCK,14.75,15.75,13.75,14.8,14.9,14.25,14.35,14.5,12.232,12.315,11.778,11.86,11.984,11431900.0,165759880000.0,0.0,0.0,-0.4,-0.3306,-2.7119
POW,2025-09-29,15:09:03,HOSE,STOCK,14.95,15.95,13.95,15.0,15.1,14.7,14.75,14.882,12.398,12.48,12.15,12.191,12.3,6885100.0,102462370000.0,0.0,0.0,-0.2,-0.1653,-1.3378
POW,2025-09-26,15:09:03,HOSE,STOCK,15.2,16.25,14.15,15.25,15.3,14.95,14.95,15.086,12.604,12.645,12.356,12.356,12.469,8998500.0,135747325000.0,0.0,0.0,-0.25,-0.2066,-1.6447
