code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
SAB,2025-12-12,15:12:03,HOSE,STOCK,52.3,55.9,48.65,52.0,52.6,49.95,50.0,50.89,52.0,52.6,49.95,50.0,50.89,2534500.0,128979630000.0,99500.0,5036628500.0,-2.3,-2.3,-4.3977
SAB,2025-12-11,15:12:04,HOSE,STOCK,51.5,55.1,47.9,51.7,53.0,51.5,52.3,52.364,51.7,53.0,51.5,52.3,52.364,1643600.0,86064900000.0,44000.0,2270400000.0,0.8,0.8,1.5534
SAB,2025-12-10,15:12:06,HOSE,STOCK,53.3,57.0,49.6,53.3,53.4,51.4,51.5,52.105,53.3,53.4,51.4,51.5,52.105,2433700.0,126806820000.0,136000.0,6848300000.0,-1.8,-1.8,-3.3771
SAB,2025-12-09,15:12:04,HOSE,STOCK,53.2,56.9,49.5,54.5,55.3,53.3,53.3,54.119,54.5,55.3,53.3,53.3,54.119,4328800.0,234269110000.0,44000.0,2193400000.0,0.1,0.1,0.188
SAB,2025-12-08,15:12:04,HOSE,STOCK,49.8,53.2,46.35,49.8,53.2,49.7,53.2,52.756,49.8,53.2,49.7,53.2,52.756,5248000.0,276864070000.0,286000.0,14857850000.0,3.4,3.4,6.8273
SAB,2025-12-05,15:12:03,HOSE,STOCK,50.9,54.4,47.35,50.9,51.3,49.8,49.8,50.207,50.9,51.3,49.8,49.8,50.207,2542700.0,127660345000.0,44000.0,2167000000.0,-1.1,-1.1,-2.1611
SAB,2025-12-04,15:12:03,HOSE,STOCK,51.9,55.5,48.3,51.5,52.2,50.5,50.9,51.057,51.5,52.2,50.5,50.9,51.057,2805000.0,143215580000.0,136000.0,6790150000.0,-1.0,-1.0,-1.9268
SAB,2025-12-03,15:12:04,HOSE,STOCK,52.4,56.0,48.75,54.0,54.4,51.9,51.9,52.982,54.0,54.4,51.9,51.9,52.982,3231900.0,171234000000.0,44000.0,2184600000.0,-0.5,-0.5,-0.9542
SAB,2025-12-02,15:12:03,HOSE,STOCK,49.0,52.4,45.6,49.0,52.4,48.85,52.4,50.752,49.0,52.4,48.85,52.4,50.752,5646800.0,286585360000.0,186000.0,9028350000.0,3.4,3.4,6.9388
SAB,2025-12-01,15:12:03,HOSE,STOCK,46.4,49.6,43.2,46.55,49.6,46.55,49.0,48.509,46.55,49.6,46.55,49.0,48.509,4104800.0,199121290000.0,44000.0,2068000000.0,2.6,2.6,5.6034
SAB,2025-11-28,15:11:04,HOSE,STOCK,46.4,49.6,43.2,46.4,46.65,46.3,46.4,46.478,46.4,46.65,46.3,46.4,46.478,381200.0,17717310000.0,136000.0,6307450000.0,0.0,0.0,0.0
