code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
SSI,2025-12-12,15:12:02,HOSE,STOCK,29.05,31.05,27.05,29.3,29.4,28.0,28.1,28.828,29.3,29.4,28.0,28.1,28.828,21558800.0,621499880000.0,1670000.0,48870000000.0,-0.95,-0.95,-3.2702
SSI,2025-12-11,15:12:03,HOSE,STOCK,29.25,31.25,27.25,29.35,29.7,28.95,29.05,29.3,29.35,29.7,28.95,29.05,29.3,11688200.0,342464020000.0,127002.0,3771954500.0,-0.2,-0.2,-0.6838
SSI,2025-12-10,15:12:04,HOSE,STOCK,28.75,30.75,26.75,29.0,29.3,28.9,29.25,29.101,29.0,29.3,28.9,29.25,29.101,12135600.0,353153825000.0,1600000.0,48375000000.0,0.5,0.5,1.7391
SSI,2025-12-09,15:12:02,HOSE,STOCK,29.4,31.45,27.35,29.35,29.4,28.4,28.75,28.854,29.35,29.4,28.4,28.75,28.854,30826600.0,889481885000.0,1370000.0,42861500000.0,-0.65,-0.65,-2.2109
SSI,2025-12-08,15:12:02,HOSE,STOCK,29.4,31.45,27.35,30.0,30.45,29.4,29.4,29.832,30.0,30.45,29.4,29.4,29.832,31938300.0,952782995000.0,4853516.0,137077267600.0,0.0,0.0,0.0
SSI,2025-12-05,15:12:02,HOSE,STOCK,32.8,35.05,30.55,32.95,33.0,32.2,32.28,32.437,30.014,30.06,29.331,29.377,29.547,47092900.0,1527533485000.0,820004.0,26325122200.0,-0.52,-0.4732,-1.5854
SSI,2025-12-04,15:12:02,HOSE,STOCK,32.35,34.6,30.1,32.55,33.15,32.5,32.8,32.81,29.65,30.196,29.604,29.878,29.887,32017100.0,1050485950000.0,0.0,0.0,0.45,0.4099,1.391
SSI,2025-12-03,15:12:03,HOSE,STOCK,32.3,34.55,30.05,32.4,32.55,32.15,32.35,32.349,29.513,29.65,29.285,29.468,29.467,22047800.0,713231015000.0,0.0,0.0,0.05,0.0455,0.1548
SSI,2025-12-02,15:12:02,HOSE,STOCK,32.0,34.2,29.8,31.7,32.45,31.7,32.3,32.108,28.876,29.559,28.876,29.422,29.247,31339700.0,1006254335000.0,0.0,0.0,0.3,0.2733,0.9375
SSI,2025-12-01,15:12:02,HOSE,STOCK,32.8,35.05,30.55,33.0,33.15,32.0,32.0,32.508,30.06,30.196,29.149,29.149,29.612,28396500.0,923110440000.0,0.0,0.0,-0.8,-0.7287,-2.439
SSI,2025-11-28,15:11:02,HOSE,STOCK,33.2,35.5,30.9,33.15,33.45,32.55,32.8,32.906,30.196,30.47,29.65,29.878,29.974,25473600.0,838223150000.0,0.0,0.0,-0.4,-0.3644,-1.2048
SSI,2025-11-27,15:11:04,HOSE,STOCK,34.0,36.35,31.65,33.85,34.15,33.15,33.2,33.546,30.834,31.107,30.196,30.242,30.557,20104000.0,674413350000.0,0.0,0.0,-0.8,-0.7287,-2.3529
SSI,2025-11-26,15:11:02,HOSE,STOCK,32.85,35.1,30.6,33.0,34.05,32.95,34.0,33.686,30.06,31.016,30.014,30.971,30.685,36038100.0,1213992605000.0,0.0,0.0,1.15,1.0475,3.5008
SSI,2025-11-25,15:11:02,HOSE,STOCK,34.4,36.8,32.0,34.15,34.3,32.6,32.85,33.289,31.107,31.244,29.695,29.923,30.323,53026500.0,1765185605000.0,0.0,0.0,-1.55,-1.4119,-4.5058
SSI,2025-11-24,15:11:02,HOSE,STOCK,34.3,36.7,31.9,34.6,34.9,34.3,34.4,34.47,31.517,31.79,31.244,31.335,31.399,11833000.0,407878620000.0,0.0,0.0,0.1,0.0911,0.2915
SSI,2025-11-21,15:11:02,HOSE,STOCK,34.8,37.2,32.4,34.3,34.55,34.05,34.3,34.259,31.244,31.472,31.016,31.244,31.207,18445600.0,631935455000.0,0.0,0.0,-0.5,-0.4555,-1.4368
SSI,2025-11-20,15:11:02,HOSE,STOCK,34.65,37.05,32.25,34.65,34.95,34.15,34.8,34.556,31.563,31.836,31.107,31.699,31.477,21063700.0,727883020000.0,0.0,0.0,0.15,0.1366,0.4329
SSI,2025-11-19,15:11:02,HOSE,STOCK,35.55,38.0,33.1,35.4,35.45,34.35,34.65,34.899,32.246,32.291,31.289,31.563,31.789,23268600.0,812043960000.0,0.0,0.0,-0.9,-0.8198,-2.5316
SSI,2025-11-18,15:11:02,HOSE,STOCK,35.4,37.85,32.95,35.45,35.95,35.2,35.55,35.529,32.291,32.747,32.064,32.382,32.363,25611500.0,909942135000.0,0.0,0.0,0.15,0.1366,0.4237
SSI,2025-11-17,15:11:02,HOSE,STOCK,34.95,37.35,32.55,35.0,35.45,34.85,35.4,35.184,31.882,32.291,31.745,32.246,32.049,15953500.0,561315285000.0,0.0,0.0,0.45,0.4099,1.2876
SSI,2025-11-14,15:11:03,HOSE,STOCK,34.95,37.35,32.55,34.8,35.35,34.6,34.95,34.993,31.699,32.2,31.517,31.836,31.875,19630000.0,686909480000.0,0.0,0.0,0.0,0.0,0.0
SSI,2025-11-13,15:11:03,HOSE,STOCK,35.5,37.95,33.05,35.55,35.55,34.8,34.95,35.032,32.382,32.382,31.699,31.836,31.911,21313000.0,746647610000.0,0.0,0.0,-0.55,-0.501,-1.5493
SSI,2025-11-12,15:11:02,HOSE,STOCK,34.85,37.25,32.45,35.1,35.85,34.8,35.5,35.319,31.973,32.656,31.699,32.337,32.172,34965500.0,1234949345000.0,0.0,0.0,0.65,0.5921,1.8651
SSI,2025-11-11,15:11:03,HOSE,STOCK,33.6,35.95,31.25,34.1,34.95,33.7,34.85,34.382,31.062,31.836,30.697,31.745,31.319,30203900.0,1038458490000.0,0.0,0.0,1.25,1.1386,3.7202
SSI,2025-11-10,15:11:02,HOSE,STOCK,32.95,35.25,30.65,32.95,34.85,32.75,33.6,33.83,30.014,31.745,29.832,30.606,30.816,33031200.0,1117432720000.0,0.0,0.0,0.65,0.5921,1.9727
SSI,2025-11-07,15:11:02,HOSE,STOCK,34.3,36.7,31.9,34.15,34.2,32.85,32.95,33.503,31.107,31.153,29.923,30.014,30.518,36679200.0,1228866340000.0,0.0,0.0,-1.35,-1.2297,-3.9359
SSI,2025-11-06,15:11:02,HOSE,STOCK,34.9,37.3,32.5,35.0,35.05,34.05,34.3,34.48,31.882,31.927,31.016,31.244,31.408,23177900.0,799177870000.0,0.0,0.0,-0.6,-0.5465,-1.7192
SSI,2025-11-05,15:11:01,HOSE,STOCK,34.75,37.15,32.35,34.8,35.5,34.75,34.9,35.072,31.699,32.337,31.654,31.79,31.947,30063400.0,1054375630000.0,0.0,0.0,0.15,0.1366,0.4317
SSI,2025-11-04,15:11:03,HOSE,STOCK,32.5,34.75,30.25,32.4,34.75,32.1,34.75,33.59,29.513,31.654,29.24,31.654,30.597,57837700.0,1942766105000.0,0.0,0.0,2.25,2.0495,6.9231
