code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
STB,2025-12-12,15:12:02,HOSE,STOCK,47.7,51.0,44.4,47.7,48.5,46.0,46.0,47.818,47.7,48.5,46.0,46.0,47.818,8811500.0,421349045000.0,2150000.0,99000000000.0,-1.7,-1.7,-3.5639
STB,2025-12-11,15:12:03,HOSE,STOCK,48.6,52.0,45.2,48.4,48.6,47.7,47.7,48.151,48.4,48.6,47.7,47.7,48.151,6162200.0,296714700000.0,0.0,0.0,-0.9,-0.9,-1.8519
STB,2025-12-10,15:12:04,HOSE,STOCK,48.55,51.9,45.2,48.45,48.65,48.4,48.6,48.547,48.45,48.65,48.4,48.6,48.547,5984100.0,290509680000.0,110000.0,5665000000.0,0.05,0.05,0.103
STB,2025-12-09,15:12:02,HOSE,STOCK,48.7,52.1,45.3,48.35,49.25,48.05,48.55,48.413,48.35,49.25,48.05,48.55,48.413,10646500.0,515430555000.0,6627000.0,315238000000.0,-0.15,-0.15,-0.308
STB,2025-12-08,15:12:02,HOSE,STOCK,49.2,52.6,45.8,49.2,49.25,48.7,48.7,48.909,49.2,49.25,48.7,48.7,48.909,4224200.0,206599925000.0,1312000.0,64760000000.0,-0.5,-0.5,-1.0163
STB,2025-12-05,15:12:02,HOSE,STOCK,50.2,53.7,46.7,50.6,50.6,49.2,49.2,49.888,50.6,50.6,49.2,49.2,49.888,6092100.0,303920690000.0,220000.0,11044000000.0,-1.0,-1.0,-1.992
STB,2025-12-04,15:12:02,HOSE,STOCK,49.7,53.1,46.25,50.0,51.0,49.95,50.2,50.4,50.0,51.0,49.95,50.2,50.4,7179800.0,361860085000.0,2594000.0,126576000000.0,0.5,0.5,1.006
STB,2025-12-03,15:12:03,HOSE,STOCK,49.4,52.8,45.95,49.2,50.9,49.2,49.7,50.116,49.2,50.9,49.2,49.7,50.116,7311300.0,366412730000.0,985000.0,50480900000.0,0.3,0.3,0.6073
STB,2025-12-02,15:12:02,HOSE,STOCK,49.0,52.4,45.6,49.0,49.65,49.0,49.4,49.425,49.0,49.65,49.0,49.4,49.425,5477800.0,270741865000.0,490000.0,23030000000.0,0.4,0.4,0.8163
STB,2025-12-01,15:12:02,HOSE,STOCK,48.6,52.0,45.2,48.7,49.6,48.65,49.0,49.114,48.7,49.6,48.65,49.0,49.114,3344100.0,164241505000.0,2807000.0,134801500000.0,0.4,0.4,0.823
STB,2025-11-28,15:11:02,HOSE,STOCK,49.3,52.7,45.85,49.0,49.55,48.6,48.6,49.084,49.0,49.55,48.6,48.6,49.084,4671200.0,229281505000.0,1803000.0,85949500000.0,-0.7,-0.7,-1.4199
STB,2025-11-27,15:11:04,HOSE,STOCK,49.95,53.4,46.5,49.8,50.6,49.3,49.3,50.114,49.8,50.6,49.3,49.3,50.114,3672600.0,184049015000.0,4010000.0,195063000000.0,-0.65,-0.65,-1.3013
STB,2025-11-26,15:11:02,HOSE,STOCK,50.0,53.5,46.5,50.1,51.2,49.95,49.95,50.42,50.1,51.2,49.95,49.95,50.42,7616300.0,384012075000.0,4368000.0,223382500000.0,-0.05,-0.05,-0.1
STB,2025-11-25,15:11:02,HOSE,STOCK,50.0,53.5,46.5,50.0,51.0,49.75,50.0,50.424,50.0,51.0,49.75,50.0,50.424,5219100.0,263170100000.0,4985700.0,256427407800.0,0.0,0.0,0.0
STB,2025-11-24,15:11:02,HOSE,STOCK,51.3,54.8,47.75,51.5,51.5,50.0,50.0,50.917,51.5,51.5,50.0,50.0,50.917,6116900.0,311456850000.0,2050000.0,106880000000.0,-1.3,-1.3,-2.5341
STB,2025-11-21,15:11:02,HOSE,STOCK,49.5,52.9,46.05,49.05,51.3,48.9,51.3,50.133,49.05,51.3,48.9,51.3,50.133,10132900.0,507992985000.0,20000.0,998360000.0,1.8,1.8,3.6364
STB,2025-11-20,15:11:02,HOSE,STOCK,49.5,52.9,46.05,49.5,49.8,49.1,49.5,49.522,49.5,49.8,49.1,49.5,49.522,5896100.0,291987850000.0,3430000.0,177282000000.0,0.0,0.0,0.0
