code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
TCB,2025-12-12,15:12:02,HOSE,STOCK,33.4,35.7,31.1,33.45,33.6,32.0,32.0,32.805,33.45,33.6,32.0,32.0,32.805,19124300.0,627374820000.0,3192000.0,110641690000.0,-1.4,-1.4,-4.1916
TCB,2025-12-11,15:12:03,HOSE,STOCK,33.7,36.05,31.35,33.75,34.0,33.4,33.4,33.632,33.75,34.0,33.4,33.4,33.632,6610500.0,222324420000.0,4782000.0,165507100000.0,-0.3,-0.3,-0.8902
TCB,2025-12-10,15:12:04,HOSE,STOCK,33.8,36.15,31.45,33.75,34.15,33.7,33.7,33.888,33.75,34.15,33.7,33.7,33.888,5381400.0,182363955000.0,2430514.0,84629665300.0,-0.1,-0.1,-0.2959
TCB,2025-12-09,15:12:02,HOSE,STOCK,34.2,36.55,31.85,34.2,34.2,33.5,33.8,33.827,34.2,34.2,33.5,33.8,33.827,10774500.0,364469370000.0,5840000.0,200498000000.0,-0.4,-0.4,-1.1696
TCB,2025-12-08,15:12:02,HOSE,STOCK,34.7,37.1,32.3,34.65,34.8,34.15,34.2,34.439,34.65,34.8,34.15,34.2,34.439,6283600.0,216402605000.0,2020000.0,72687100000.0,-0.5,-0.5,-1.4409
TCB,2025-12-05,15:12:02,HOSE,STOCK,35.4,37.85,32.95,35.5,35.5,34.7,34.7,34.898,35.5,35.5,34.7,34.7,34.898,7316700.0,255341770000.0,140000.0,5201000000.0,-0.7,-0.7,-1.9774
TCB,2025-12-04,15:12:02,HOSE,STOCK,34.9,37.3,32.5,35.0,35.5,34.8,35.4,35.145,35.0,35.5,34.8,35.4,35.145,12020600.0,422461195000.0,820000.0,27268000000.0,0.5,0.5,1.4327
TCB,2025-12-03,15:12:03,HOSE,STOCK,34.2,36.55,31.85,34.25,35.0,34.25,34.9,34.667,34.25,35.0,34.25,34.9,34.667,16220500.0,562313965000.0,2869000.0,99042550000.0,0.7,0.7,2.0468
TCB,2025-12-02,15:12:02,HOSE,STOCK,33.2,35.5,30.9,33.2,34.3,33.15,34.2,33.631,33.2,34.3,33.15,34.2,33.631,14025300.0,471685680000.0,2620000.0,87797000000.0,1.0,1.0,3.012
TCB,2025-12-01,15:12:02,HOSE,STOCK,33.75,36.1,31.4,33.7,33.7,33.2,33.2,33.447,33.7,33.7,33.2,33.2,33.447,7034700.0,235287220000.0,2686001.0,92759031400.0,-0.55,-0.55,-1.6296
TCB,2025-11-28,15:11:03,HOSE,STOCK,33.75,36.1,31.4,33.75,33.9,33.3,33.75,33.637,33.75,33.9,33.3,33.75,33.637,8390800.0,282240470000.0,16021500.0,542820470000.0,0.0,0.0,0.0
TCB,2025-11-27,15:11:04,HOSE,STOCK,33.85,36.2,31.5,33.95,34.2,33.7,33.75,33.951,33.95,34.2,33.7,33.75,33.951,8857300.0,300711065000.0,2357000.0,83664794000.0,-0.1,-0.1,-0.2954
TCB,2025-11-26,15:11:02,HOSE,STOCK,33.45,35.75,31.15,33.6,33.9,33.5,33.85,33.783,33.6,33.9,33.5,33.85,33.783,7859900.0,265533865000.0,5210002.0,181135562300.0,0.4,0.4,1.1958
TCB,2025-11-25,15:11:03,HOSE,STOCK,33.95,36.3,31.6,34.0,34.0,33.45,33.45,33.695,34.0,34.0,33.45,33.45,33.695,9145600.0,308158275000.0,6791000.0,239522600000.0,-0.5,-0.5,-1.4728
TCB,2025-11-24,15:11:02,HOSE,STOCK,34.25,36.6,31.9,34.3,34.4,33.9,33.95,34.062,34.3,34.4,33.9,33.95,34.062,8275900.0,281889725000.0,2001000.0,69535000000.0,-0.3,-0.3,-0.8759
TCB,2025-11-21,15:11:02,HOSE,STOCK,34.6,37.0,32.2,34.5,34.5,33.5,34.25,34.173,34.5,34.5,33.5,34.25,34.173,8560200.0,292526650000.0,361950.0,12377387350.0,-0.35,-0.35,-1.0116
TCB,2025-11-20,15:11:02,HOSE,STOCK,34.8,37.2,32.4,34.85,35.0,34.6,34.6,34.769,34.85,35.0,34.6,34.6,34.769,6941100.0,241335395000.0,3057000.0,108669390000.0,-0.2,-0.2,-0.5747
TCB,2025-11-19,15:11:03,HOSE,STOCK,35.35,37.8,32.9,35.4,35.4,34.75,34.8,34.985,35.4,35.4,34.75,34.8,34.985,6830700.0,238974660000.0,5426000.0,192316100000.0,-0.55,-0.55,-1.5559
