code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
TPB,2025-12-12,15:12:03,HOSE,STOCK,16.8,17.95,15.65,16.8,16.9,16.35,16.35,16.641,16.8,16.9,16.35,16.35,16.641,9135900.0,152033355000.0,1.0,15650.0,-0.45,-0.45,-2.6786
TPB,2025-12-11,15:12:04,HOSE,STOCK,16.9,18.05,15.75,16.95,17.05,16.75,16.8,16.894,16.95,17.05,16.75,16.8,16.894,6528300.0,110288530000.0,40000.0,676000000.0,-0.1,-0.1,-0.5917
TPB,2025-12-10,15:12:07,HOSE,STOCK,16.9,18.05,15.75,16.9,17.1,16.9,16.9,16.971,16.9,17.1,16.9,16.9,16.971,2980100.0,50575185000.0,213001.0,3485315750.0,0.0,0.0,0.0
TPB,2025-12-09,15:12:04,HOSE,STOCK,17.2,18.4,16.0,17.15,17.25,16.7,16.9,16.946,17.15,17.25,16.7,16.9,16.946,16834200.0,285265170000.0,0.0,0.0,-0.3,-0.3,-1.7442
TPB,2025-12-08,15:12:04,HOSE,STOCK,17.4,18.6,16.2,17.35,17.45,17.15,17.2,17.291,17.35,17.45,17.15,17.2,17.291,4425100.0,76513515000.0,0.0,0.0,-0.2,-0.2,-1.1494
TPB,2025-12-05,15:12:03,HOSE,STOCK,17.6,18.8,16.4,17.7,17.75,17.25,17.4,17.498,17.7,17.75,17.25,17.4,17.498,7624600.0,133412995000.0,0.0,0.0,-0.2,-0.2,-1.1364
TPB,2025-12-04,15:12:03,HOSE,STOCK,17.35,18.55,16.15,17.35,17.65,17.35,17.6,17.55,17.35,17.65,17.35,17.6,17.55,16127000.0,283035660000.0,168000.0,2923650000.0,0.25,0.25,1.4409
TPB,2025-12-03,15:12:04,HOSE,STOCK,17.1,18.25,15.95,17.15,17.65,17.15,17.35,17.46,17.15,17.65,17.15,17.35,17.46,17159000.0,299595165000.0,20000.0,342000000.0,0.25,0.25,1.462
TPB,2025-12-02,15:12:03,HOSE,STOCK,17.0,18.15,15.85,17.0,17.15,16.85,17.1,16.988,17.0,17.15,16.85,17.1,16.988,6543900.0,111167340000.0,0.0,0.0,0.1,0.1,0.5882
TPB,2025-12-01,15:12:03,HOSE,STOCK,17.3,18.5,16.1,17.2,17.25,17.0,17.0,17.1,17.2,17.25,17.0,17.0,17.1,4157400.0,71092910000.0,4210000.0,72833000000.0,-0.3,-0.3,-1.7341
TPB,2025-11-28,15:11:04,HOSE,STOCK,17.35,18.55,16.15,17.35,17.4,17.0,17.3,17.208,17.35,17.4,17.0,17.3,17.208,3772500.0,64916045000.0,0.0,0.0,-0.05,-0.05,-0.2882
TPB,2025-11-27,15:11:05,HOSE,STOCK,17.4,18.6,16.2,17.4,17.8,17.3,17.35,17.528,17.4,17.8,17.3,17.35,17.528,8297800.0,145446790000.0,750000.0,12900000000.0,-0.05,-0.05,-0.2874
TPB,2025-11-26,15:11:03,HOSE,STOCK,16.95,18.1,15.8,16.9,17.45,16.9,17.4,17.195,16.9,17.45,16.9,17.4,17.195,6895100.0,118561585000.0,1050002.0,17640031600.0,0.45,0.45,2.6549
TPB,2025-11-25,15:11:04,HOSE,STOCK,17.25,18.45,16.05,17.1,17.25,16.85,16.95,16.997,17.1,17.25,16.85,16.95,16.997,5087000.0,86465725000.0,2153000.0,36560000000.0,-0.3,-0.3,-1.7391
TPB,2025-11-24,15:11:04,HOSE,STOCK,17.25,18.45,16.05,17.25,17.3,17.0,17.25,17.223,17.25,17.3,17.0,17.25,17.223,6498000.0,111913540000.0,200002.0,3450032100.0,0.0,0.0,0.0
TPB,2025-11-21,15:11:04,HOSE,STOCK,17.25,18.45,16.05,17.05,17.25,16.85,17.25,17.034,17.05,17.25,16.85,17.25,17.034,5447600.0,92795860000.0,1.0,16050.0,0.0,0.0,0.0
TPB,2025-11-20,15:11:03,HOSE,STOCK,17.15,18.35,15.95,17.2,17.3,17.0,17.25,17.158,17.2,17.3,17.0,17.25,17.158,4211000.0,72254335000.0,0.0,0.0,0.1,0.1,0.5831
TPB,2025-11-19,15:11:04,HOSE,STOCK,17.6,18.8,16.4,17.6,17.6,17.15,17.15,17.359,17.6,17.6,17.15,17.15,17.359,4219000.0,73236635000.0,1090002.0,19244032800.0,-0.45,-0.45,-2.5568
TPB,2025-11-18,15:11:03,HOSE,STOCK,17.15,18.35,15.95,17.15,17.6,17.1,17.6,17.457,17.15,17.6,17.1,17.6,17.457,13307100.0,232297220000.0,0.0,0.0,0.45,0.45,2.6239
TPB,2025-11-17,15:11:03,HOSE,STOCK,16.95,18.1,15.8,17.0,17.2,16.9,17.15,17.067,17.0,17.2,16.9,17.15,17.067,4670500.0,79709860000.0,30000.0,507000000.0,0.2,0.2,1.1799
TPB,2025-11-14,15:11:05,HOSE,STOCK,16.95,18.1,15.8,16.95,17.0,16.8,16.95,16.9,16.95,17.0,16.8,16.95,16.9,4315300.0,72929695000.0,1.0,15800.0,0.0,0.0,0.0
TPB,2025-11-13,15:11:04,HOSE,STOCK,17.3,18.5,16.1,17.2,17.25,16.95,16.95,17.052,17.2,17.25,16.95,16.95,17.052,4498500.0,76706505000.0,400002.0,6920032200.0,-0.35,-0.35,-2.0231
