code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VCB,2025-12-12,15:12:03,HOSE,STOCK,57.6,61.6,53.6,57.8,57.8,56.8,56.8,57.17,57.8,57.8,56.8,56.8,57.17,4847700.0,277140830000.0,50001.0,2700053600.0,-0.8,-0.8,-1.3889
VCB,2025-12-11,15:12:04,HOSE,STOCK,58.2,62.2,54.2,58.4,58.4,57.6,57.6,57.918,58.4,58.4,57.6,57.6,57.918,1746700.0,101165360000.0,120000.0,6987000000.0,-0.6,-0.6,-1.0309
VCB,2025-12-10,15:12:06,HOSE,STOCK,58.0,62.0,54.0,58.3,58.6,57.8,58.2,58.216,58.3,58.6,57.8,58.2,58.216,3082500.0,179450020000.0,3845100.0,220480910000.0,0.2,0.2,0.3448
VCB,2025-12-09,15:12:03,HOSE,STOCK,57.9,61.9,53.9,57.9,58.7,57.3,58.0,57.862,57.9,58.7,57.3,58.0,57.862,4519400.0,261503210000.0,2710304.0,156469835600.0,0.1,0.1,0.1727
VCB,2025-12-08,15:12:03,HOSE,STOCK,58.3,62.3,54.3,58.2,58.3,57.8,57.9,57.959,58.2,58.3,57.8,57.9,57.959,2141500.0,124120210000.0,175000.0,10387500000.0,-0.4,-0.4,-0.6861
VCB,2025-12-05,15:12:03,HOSE,STOCK,58.9,63.0,54.8,59.0,59.2,58.2,58.3,58.451,59.0,59.2,58.2,58.3,58.451,3604700.0,210699710000.0,70004.0,4014219200.0,-0.6,-0.6,-1.0187
VCB,2025-12-04,15:12:03,HOSE,STOCK,58.9,63.0,54.8,59.0,59.4,58.7,58.9,58.998,59.0,59.4,58.7,58.9,58.998,2923100.0,172458070000.0,175007.0,10329383600.0,0.0,0.0,0.0
VCB,2025-12-03,15:12:03,HOSE,STOCK,57.6,61.6,53.6,57.8,59.1,57.8,58.9,58.605,57.8,59.1,57.8,58.9,58.605,6161200.0,361077730000.0,70000.0,4190000000.0,1.3,1.3,2.2569
VCB,2025-12-02,15:12:03,HOSE,STOCK,57.5,61.5,53.5,57.5,57.8,57.2,57.6,57.434,57.5,57.8,57.2,57.6,57.434,3185600.0,182963270000.0,175005.0,9809267500.0,0.1,0.1,0.1739
VCB,2025-12-01,15:12:03,HOSE,STOCK,57.4,61.4,53.4,57.6,58.0,57.5,57.5,57.662,57.6,58.0,57.5,57.5,57.662,2824900.0,162890070000.0,70000.0,4273000000.0,0.1,0.1,0.1742
