code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VHM,2025-12-12,15:12:03,HOSE,STOCK,101.1,108.1,94.1,101.0,101.0,94.1,94.1,96.348,101.0,101.0,94.1,94.1,96.348,6638700.0,639622170000.0,100000.0,10135000000.0,-7.0,-7.0,-6.9238
VHM,2025-12-11,15:12:04,HOSE,STOCK,103.5,110.7,96.3,101.8,103.3,101.1,101.1,101.877,101.8,103.3,101.1,101.1,101.877,3117200.0,317571840000.0,4776200.0,506707073600.0,-2.4,-2.4,-2.3188
VHM,2025-12-10,15:12:06,HOSE,STOCK,107.5,115.0,100.0,107.0,107.0,100.2,103.5,102.8,107.0,107.0,100.2,103.5,102.8,7908400.0,812982990000.0,100000.0,10800000000.0,-4.0,-4.0,-3.7209
VHM,2025-12-09,15:12:03,HOSE,STOCK,110.0,117.7,102.3,110.8,111.4,104.7,107.5,107.082,110.8,111.4,104.7,107.5,107.082,7599600.0,813776750000.0,3776200.0,406161500000.0,-2.5,-2.5,-2.2727
VHM,2025-12-08,15:12:03,HOSE,STOCK,107.0,114.4,99.6,107.0,110.0,106.0,110.0,107.941,107.0,110.0,106.0,110.0,107.941,4603000.0,496854150000.0,100000.0,10800000000.0,3.0,3.0,2.8037
VHM,2025-12-05,15:12:03,HOSE,STOCK,105.2,112.5,97.9,105.0,108.5,104.8,107.0,106.519,105.0,108.5,104.8,107.0,106.519,5143500.0,547882460000.0,0.0,0.0,1.8,1.8,1.711
VHM,2025-12-04,15:12:03,HOSE,STOCK,106.8,114.2,99.4,106.2,106.2,104.2,105.2,104.956,106.2,106.2,104.2,105.2,104.956,4584800.0,481200370000.0,25000.0,2623900000.0,-1.6,-1.6,-1.4981
VHM,2025-12-03,15:12:04,HOSE,STOCK,106.8,114.2,99.4,106.9,107.0,104.8,106.8,106.292,106.9,107.0,104.8,106.8,106.292,4477200.0,475891100000.0,0.0,0.0,0.0,0.0,0.0
VHM,2025-12-02,15:12:03,HOSE,STOCK,105.7,113.0,98.4,105.9,106.8,103.6,106.8,105.299,105.9,106.8,103.6,106.8,105.299,4533700.0,477394010000.0,0.0,0.0,1.1,1.1,1.0407
VHM,2025-12-01,15:12:03,HOSE,STOCK,102.9,110.1,95.7,104.0,107.3,103.0,105.7,105.026,104.0,107.3,103.0,105.7,105.026,5879600.0,617513200000.0,1500000.0,159525000000.0,2.8,2.8,2.7211
VHM,2025-11-28,15:11:04,HOSE,STOCK,102.5,109.6,95.4,102.0,103.3,101.3,102.9,102.456,102.0,103.3,101.3,102.9,102.456,3434700.0,351904500000.0,50000.0,5123250000.0,0.4,0.4,0.3902
VHM,2025-11-27,15:11:05,HOSE,STOCK,102.1,109.2,95.0,102.5,103.6,101.3,102.5,102.294,102.5,103.6,101.3,102.5,102.294,3140200.0,321223850000.0,347000.0,37180800000.0,0.4,0.4,0.3918
VHM,2025-11-26,15:11:02,HOSE,STOCK,102.6,109.7,95.5,102.8,102.9,100.1,102.1,101.593,102.8,102.9,100.1,102.1,101.593,4375200.0,444490220000.0,1228000.0,131062906000.0,-0.5,-0.5,-0.4873
VHM,2025-11-25,15:11:04,HOSE,STOCK,102.7,109.8,95.6,103.4,104.0,101.2,102.6,102.622,103.4,104.0,101.2,102.6,102.622,4457800.0,457468410000.0,304800.0,31246267200.0,-0.1,-0.1,-0.0974
VHM,2025-11-24,15:11:03,HOSE,STOCK,99.3,106.2,92.4,99.3,104.0,98.7,102.7,102.156,99.3,104.0,98.7,102.7,102.156,6062300.0,619302780000.0,300000.0,27750000000.0,3.4,3.4,3.424
VHM,2025-11-21,15:11:03,HOSE,STOCK,97.8,104.6,91.0,96.1,99.3,96.1,99.3,97.8,96.1,99.3,96.1,99.3,97.8,3947400.0,386054730000.0,50000.0,4893200000.0,1.5,1.5,1.5337
VHM,2025-11-20,15:11:03,HOSE,STOCK,96.9,103.6,90.2,96.7,98.4,96.0,97.8,97.501,96.7,98.4,96.0,97.8,97.501,3350300.0,326656380000.0,1682000.0,171099200000.0,0.9,0.9,0.9288
VHM,2025-11-19,15:11:03,HOSE,STOCK,97.0,103.7,90.3,96.9,96.9,95.3,96.9,96.202,96.9,96.9,95.3,96.9,96.202,3741200.0,359912190000.0,942000.0,96084000000.0,-0.1,-0.1,-0.1031
VHM,2025-11-18,15:11:03,HOSE,STOCK,95.0,101.6,88.4,95.7,97.0,94.0,97.0,95.653,95.7,97.0,94.0,97.0,95.653,3666000.0,350664750000.0,936000.0,89826000000.0,2.0,2.0,2.1053
VHM,2025-11-17,15:11:03,HOSE,STOCK,93.9,100.4,87.4,94.0,96.3,94.0,95.0,95.126,94.0,96.3,94.0,95.0,95.126,4096000.0,389637360000.0,66000.0,6279240000.0,1.1,1.1,1.1715
VHM,2025-11-14,15:11:04,HOSE,STOCK,93.3,99.8,86.8,93.0,93.9,90.5,93.9,92.914,93.0,93.9,90.5,93.9,92.914,3280400.0,304794710000.0,0.0,0.0,0.6,0.6,0.6431
VHM,2025-11-13,15:11:04,HOSE,STOCK,94.0,100.5,87.5,94.5,94.9,91.6,93.3,92.79,94.5,94.9,91.6,93.3,92.79,4292000.0,398255340000.0,0.0,0.0,-0.7,-0.7,-0.7447
VHM,2025-11-12,15:11:02,HOSE,STOCK,90.0,96.3,83.7,90.1,95.0,90.1,94.0,92.665,90.1,95.0,90.1,94.0,92.665,4720500.0,437425900000.0,350000.0,32490150000.0,4.0,4.0,4.4444
VHM,2025-11-11,15:11:04,HOSE,STOCK,86.9,92.9,80.9,86.9,91.4,86.9,90.0,89.606,86.9,91.4,86.9,90.0,89.606,8465600.0,758564410000.0,50000.0,4645000000.0,3.1,3.1,3.5673
VHM,2025-11-10,15:11:03,HOSE,STOCK,92.0,98.4,85.6,90.2,92.0,86.9,86.9,89.936,90.2,92.0,86.9,86.9,89.936,6349200.0,571023700000.0,1319000.0,126132320000.0,-5.1,-5.1,-5.5435
VHM,2025-11-07,15:11:03,HOSE,STOCK,98.9,105.8,92.0,97.5,98.0,92.0,92.0,93.8,97.5,98.0,92.0,92.0,93.8,9791200.0,918418320000.0,90000.0,8431020000.0,-6.9,-6.9,-6.9767
VHM,2025-11-06,15:11:03,HOSE,STOCK,99.6,106.5,92.7,99.6,101.5,97.6,98.9,98.892,99.6,101.5,97.6,98.9,98.892,4590300.0,453942550000.0,47500.0,4696420000.0,-0.7,-0.7,-0.7028
VHM,2025-11-05,15:11:02,HOSE,STOCK,100.2,107.2,93.2,101.2,101.7,99.5,99.6,100.233,101.2,101.7,99.5,99.6,100.233,3054600.0,306171710000.0,1097000.0,112611778000.0,-0.6,-0.6,-0.5988
VHM,2025-11-04,15:11:04,HOSE,STOCK,98.5,105.3,91.7,98.4,102.0,98.4,100.2,99.93,98.4,102.0,98.4,100.2,99.93,4564100.0,456091060000.0,0.0,0.0,1.7,1.7,1.7259
VHM,2025-11-03,15:11:03,HOSE,STOCK,99.2,106.1,92.3,99.6,101.4,97.8,98.5,99.357,99.6,101.4,97.8,98.5,99.357,5083100.0,505040960000.0,73300.0,7280375900.0,-0.7,-0.7,-0.7056
VHM,2025-10-31,15:10:03,HOSE,STOCK,104.0,111.2,96.8,103.8,103.8,99.2,99.2,100.459,103.8,103.8,99.2,99.2,100.459,6461300.0,649093170000.0,640000.0,65528700000.0,-4.8,-4.8,-4.6154
VHM,2025-10-30,15:10:05,HOSE,STOCK,103.8,111.0,96.6,103.8,105.0,100.8,104.0,102.655,103.8,105.0,100.8,104.0,102.655,3691300.0,378930470000.0,1000000.0,104455000000.0,0.2,0.2,0.1927
VHM,2025-10-29,15:10:03,HOSE,STOCK,107.0,114.4,99.6,107.1,107.1,102.7,103.8,104.314,107.1,107.1,102.7,103.8,104.314,3681700.0,384052860000.0,80000.0,9136000000.0,-3.2,-3.2,-2.9907
VHM,2025-10-28,15:10:05,HOSE,STOCK,106.5,113.9,99.1,104.2,107.0,99.1,107.0,102.955,104.2,107.0,99.1,107.0,102.955,13561200.0,1396198520000.0,536000.0,58960000000.0,0.5,0.5,0.4695
VHM,2025-10-27,15:10:02,HOSE,STOCK,114.5,122.5,106.5,115.0,116.0,106.5,106.5,110.855,115.0,116.0,106.5,106.5,110.855,7164300.0,794201480000.0,793000.0,86950436000.0,-8.0,-8.0,-6.9869
