code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VIC,2025-12-12,15:12:03,HOSE,STOCK,146.0,156.2,135.8,147.8,147.8,140.0,144.0,143.139,147.8,147.8,140.0,144.0,143.139,4622400.0,661647420000.0,0.0,0.0,-2.0,-2.0,-1.3699
VIC,2025-12-11,15:12:04,HOSE,STOCK,148.8,159.2,138.4,143.0,147.6,138.4,146.0,142.349,143.0,147.6,138.4,146.0,142.349,7957600.0,1132756360000.0,1687700.0,244716500000.0,-2.8,-2.8,-1.8817
VIC,2025-12-10,15:12:06,HOSE,STOCK,160.0,171.2,148.8,160.0,160.0,148.8,148.8,151.124,160.0,160.0,148.8,148.8,151.124,6592900.0,996342580000.0,8658800.0,1340476800000.0,-11.2,-11.2,-7.0
VIC,2025-12-09,15:12:03,HOSE,STOCK,152.7,163.3,142.1,163.3,163.3,153.0,160.0,160.99,163.3,163.3,153.0,160.0,160.99,12839300.0,2066995490000.0,0.0,0.0,7.3,7.3,4.7806
VIC,2025-12-08,15:12:03,HOSE,STOCK,142.8,152.7,132.9,152.0,152.7,149.1,152.7,152.077,152.0,152.7,149.1,152.7,152.077,4606600.0,700555990000.0,313002.0,47719385600.0,9.9,9.9,6.9328
VIC,2025-12-05,15:12:03,HOSE,STOCK,133.5,142.8,124.2,142.8,142.8,139.4,142.8,142.363,142.8,142.8,139.4,142.8,142.363,7001500.0,996752390000.0,0.0,0.0,9.3,9.3,6.9663
VIC,2025-12-04,15:12:03,HOSE,STOCK,269.4,288.2,250.6,268.0,270.8,262.0,267.0,266.59,134.0,135.4,131.0,133.5,133.295,3902000.0,1040235670000.0,4401162.0,1144302120000.0,-2.4,-1.2,-0.8909
VIC,2025-12-03,15:12:04,HOSE,STOCK,275.0,294.2,255.8,278.9,278.9,269.2,269.4,273.406,139.45,139.45,134.6,134.7,136.703,3328700.0,910087550000.0,0.0,0.0,-5.6,-2.8,-2.0364
VIC,2025-12-02,15:12:03,HOSE,STOCK,269.9,288.7,251.1,270.0,277.5,263.0,275.0,269.887,135.0,138.75,131.5,137.5,134.944,4093500.0,1104783520000.0,0.0,0.0,5.1,2.55,1.8896
VIC,2025-12-01,15:12:03,HOSE,STOCK,260.4,278.6,242.2,266.1,278.6,266.0,269.9,269.961,133.05,139.3,133.0,134.95,134.981,4500600.0,1214984550000.0,0.0,0.0,9.5,4.75,3.6482
VIC,2025-11-28,15:11:04,HOSE,STOCK,248.0,265.3,230.7,248.2,262.8,248.2,260.4,257.356,124.1,131.4,124.1,130.2,128.678,3844800.0,989482460000.0,0.0,0.0,12.4,6.2,5.0
VIC,2025-11-27,15:11:05,HOSE,STOCK,245.0,262.1,227.9,246.2,253.1,245.4,248.0,248.714,123.1,126.55,122.7,124.0,124.357,2348000.0,583980340000.0,0.0,0.0,3.0,1.5,1.2245
VIC,2025-11-26,15:11:02,HOSE,STOCK,243.0,260.0,226.0,247.0,247.0,237.5,245.0,243.411,123.5,123.5,118.75,122.5,121.706,4196800.0,1021546890000.0,0.0,0.0,2.0,1.0,0.823
VIC,2025-11-25,15:11:04,HOSE,STOCK,239.5,256.2,222.8,243.0,248.8,240.0,243.0,244.698,121.5,124.4,120.0,121.5,122.349,3425500.0,838211290000.0,0.0,0.0,3.5,1.75,1.4614
VIC,2025-11-24,15:11:03,HOSE,STOCK,229.7,245.7,213.7,229.3,243.9,229.3,239.5,238.141,114.65,121.95,114.65,119.75,119.071,3203000.0,762764660000.0,0.0,0.0,9.8,4.9,4.2664
VIC,2025-11-21,15:11:03,HOSE,STOCK,228.0,243.9,212.1,226.2,231.1,222.0,229.7,227.108,113.1,115.55,111.0,114.85,113.554,2778400.0,630996870000.0,0.0,0.0,1.7,0.85,0.7456
VIC,2025-11-20,15:11:03,HOSE,STOCK,220.5,235.9,205.1,220.9,230.0,220.0,228.0,226.569,110.45,115.0,110.0,114.0,113.285,2828600.0,640871680000.0,0.0,0.0,7.5,3.75,3.4014
VIC,2025-11-19,15:11:03,HOSE,STOCK,220.0,235.4,204.6,220.0,225.0,219.0,220.5,221.374,110.0,112.5,109.5,110.25,110.687,2328900.0,515557400000.0,0.0,0.0,0.5,0.25,0.2273
VIC,2025-11-18,15:11:03,HOSE,STOCK,217.0,232.1,201.9,217.0,221.0,215.5,220.0,218.772,108.5,110.5,107.75,110.0,109.386,3027200.0,662267430000.0,0.0,0.0,3.0,1.5,1.3825
VIC,2025-11-17,15:11:03,HOSE,STOCK,211.0,225.7,196.3,212.0,221.1,212.0,217.0,216.835,106.0,110.55,106.0,108.5,108.418,3889800.0,843443840000.0,0.0,0.0,6.0,3.0,2.8436
VIC,2025-11-14,15:11:04,HOSE,STOCK,211.2,225.9,196.5,210.8,211.3,208.1,211.0,209.966,105.4,105.65,104.05,105.5,104.983,2083100.0,437380880000.0,0.0,0.0,-0.2,-0.1,-0.0947
VIC,2025-11-13,15:11:04,HOSE,STOCK,211.2,225.9,196.5,210.0,215.8,209.2,211.2,211.9,105.0,107.9,104.6,105.6,105.95,3061500.0,648730660000.0,0.0,0.0,0.0,0.0,0.0
