code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VJC,2025-12-12,15:12:03,HOSE,STOCK,188.0,201.1,174.9,185.0,190.5,179.8,185.0,185.101,185.0,190.5,179.8,185.0,185.101,1994200.0,369127650000.0,0.0,0.0,-3.0,-3.0,-1.5957
VJC,2025-12-11,15:12:04,HOSE,STOCK,196.6,210.3,182.9,195.7,196.3,187.9,188.0,190.598,195.7,196.3,187.9,188.0,190.598,1748000.0,333164590000.0,485000.0,99350000000.0,-8.6,-8.6,-4.3744
VJC,2025-12-10,15:12:06,HOSE,STOCK,200.0,214.0,186.0,200.5,201.0,193.6,196.6,196.335,200.5,201.0,193.6,196.6,196.335,2538900.0,498474910000.0,635000.0,127000000000.0,-3.4,-3.4,-1.7
VJC,2025-12-09,15:12:03,HOSE,STOCK,206.4,220.8,192.0,205.0,205.0,200.0,200.0,201.796,205.0,205.0,200.0,200.0,201.796,1981000.0,399758160000.0,0.0,0.0,-6.4,-6.4,-3.1008
VJC,2025-12-08,15:12:03,HOSE,STOCK,207.5,222.0,193.0,204.4,207.5,200.9,206.4,203.992,204.4,207.5,200.9,206.4,203.992,1673000.0,341277940000.0,435000.0,92925000000.0,-1.1,-1.1,-0.5301
VJC,2025-12-05,15:12:03,HOSE,STOCK,206.0,220.4,191.6,204.2,207.5,200.0,207.5,202.462,204.2,207.5,200.0,207.5,202.462,2320700.0,469854530000.0,0.0,0.0,1.5,1.5,0.7282
VJC,2025-12-04,15:12:03,HOSE,STOCK,214.0,228.9,199.1,214.1,214.1,206.0,206.0,208.722,214.1,214.1,206.0,206.0,208.722,2249900.0,469604600000.0,300000.0,64200000000.0,-8.0,-8.0,-3.7383
VJC,2025-12-03,15:12:04,HOSE,STOCK,217.9,233.1,202.7,218.2,218.3,212.2,214.0,214.68,218.2,218.3,212.2,214.0,214.68,1692700.0,363388120000.0,560000.0,113680000000.0,-3.9,-3.9,-1.7898
VJC,2025-12-02,15:12:03,HOSE,STOCK,203.9,218.1,189.7,204.0,218.1,201.6,217.9,211.271,204.0,218.1,201.6,217.9,211.271,3559400.0,751997420000.0,20000.0,4078000000.0,14.0,14.0,6.8661
VJC,2025-12-01,15:12:03,HOSE,STOCK,203.5,217.7,189.3,203.7,210.7,200.7,203.9,205.569,203.7,210.7,200.7,203.9,205.569,1854100.0,381145490000.0,700000.0,142450000000.0,0.4,0.4,0.1966
VJC,2025-11-28,15:11:04,HOSE,STOCK,202.0,216.1,187.9,201.0,206.8,196.8,203.5,202.496,201.0,206.8,196.8,203.5,202.496,1487300.0,301171850000.0,20000.0,4040000000.0,1.5,1.5,0.7426
VJC,2025-11-27,15:11:05,HOSE,STOCK,207.8,222.3,193.3,207.0,207.8,193.3,202.0,197.037,207.0,207.8,193.3,202.0,197.037,4882800.0,962092100000.0,750000.0,148500000000.0,-5.8,-5.8,-2.7911
VJC,2025-11-26,15:11:02,HOSE,STOCK,219.1,234.4,203.8,218.5,220.0,206.9,207.8,212.909,218.5,220.0,206.9,207.8,212.909,2250800.0,479215700000.0,0.0,0.0,-11.3,-11.3,-5.1575
VJC,2025-11-25,15:11:04,HOSE,STOCK,204.8,219.1,190.5,205.3,219.1,203.5,219.1,213.228,205.3,219.1,203.5,219.1,213.228,3212400.0,684973400000.0,0.0,0.0,14.3,14.3,6.9824
VJC,2025-11-24,15:11:03,HOSE,STOCK,194.6,208.2,181.0,194.7,205.1,193.0,204.8,200.498,194.7,205.1,193.0,204.8,200.498,2856900.0,572803830000.0,0.0,0.0,10.2,10.2,5.2415
VJC,2025-11-21,15:11:03,HOSE,STOCK,190.4,203.7,177.1,191.0,197.1,188.6,194.6,192.193,191.0,197.1,188.6,194.6,192.193,1923700.0,369722280000.0,0.0,0.0,4.2,4.2,2.2059
VJC,2025-11-20,15:11:03,HOSE,STOCK,178.0,190.4,165.6,177.5,190.4,177.2,190.4,187.271,177.5,190.4,177.2,190.4,187.271,3009500.0,563593350000.0,900000.0,151200000000.0,12.4,12.4,6.9663
VJC,2025-11-19,15:11:03,HOSE,STOCK,179.1,191.6,166.6,178.7,179.1,176.1,178.0,177.431,178.7,179.1,176.1,178.0,177.431,1811700.0,321452640000.0,157600.0,28226160000.0,-1.1,-1.1,-0.6142
VJC,2025-11-18,15:11:03,HOSE,STOCK,179.0,191.5,166.5,180.2,180.2,177.0,179.1,178.132,180.2,180.2,177.0,179.1,178.132,1830000.0,325980970000.0,655000.0,110040000000.0,0.1,0.1,0.0559
VJC,2025-11-17,15:11:03,HOSE,STOCK,176.4,188.7,164.1,176.4,179.0,174.5,179.0,176.669,176.4,179.0,174.5,179.0,176.669,1912600.0,337896840000.0,488600.0,80228120000.0,2.6,2.6,1.4739
VJC,2025-11-14,15:11:04,HOSE,STOCK,176.3,188.6,164.0,175.6,177.0,173.3,176.4,175.009,175.6,177.0,173.3,176.4,175.009,1849300.0,323643940000.0,0.0,0.0,0.1,0.1,0.0567
VJC,2025-11-13,15:11:04,HOSE,STOCK,176.1,188.4,163.8,175.8,177.8,174.2,176.3,175.297,175.8,177.8,174.2,176.3,175.297,1857900.0,325684470000.0,1065700.0,191999880000.0,0.2,0.2,0.1136
VJC,2025-11-12,15:11:02,HOSE,STOCK,174.9,187.1,162.7,175.0,177.0,170.3,176.1,173.324,175.0,177.0,170.3,176.1,173.324,1922100.0,333146460000.0,0.0,0.0,1.2,1.2,0.6861
VJC,2025-11-11,15:11:04,HOSE,STOCK,176.5,188.8,164.2,176.5,177.5,170.5,174.9,173.474,176.5,177.5,170.5,174.9,173.474,2016700.0,349845190000.0,0.0,0.0,-1.6,-1.6,-0.9065
VJC,2025-11-10,15:11:03,HOSE,STOCK,178.0,190.4,165.6,178.5,181.0,175.3,176.5,177.764,178.5,181.0,175.3,176.5,177.764,1928500.0,342818180000.0,0.0,0.0,-1.5,-1.5,-0.8427
VJC,2025-11-07,15:11:03,HOSE,STOCK,180.9,193.5,168.3,178.5,180.0,172.9,178.0,176.33,178.5,180.0,172.9,178.0,176.33,2066800.0,364438760000.0,200000.0,36180000000.0,-2.9,-2.9,-1.6031
VJC,2025-11-06,15:11:03,HOSE,STOCK,184.5,197.4,171.6,184.8,186.5,180.9,180.9,183.303,184.8,186.5,180.9,180.9,183.303,1768700.0,324208200000.0,170000.0,31365000000.0,-3.6,-3.6,-1.9512
VJC,2025-11-05,15:11:02,HOSE,STOCK,185.8,198.8,172.8,185.3,186.5,183.0,184.5,184.578,185.3,186.5,183.0,184.5,184.578,2043500.0,377185590000.0,195000.0,38610000000.0,-1.3,-1.3,-0.6997
VJC,2025-11-04,15:11:04,HOSE,STOCK,183.5,196.3,170.7,184.0,189.0,182.8,185.8,186.277,184.0,189.0,182.8,185.8,186.277,2129600.0,396696020000.0,1900000.0,357605000000.0,2.3,2.3,1.2534
VJC,2025-11-03,15:11:03,HOSE,STOCK,187.0,200.0,174.0,186.8,189.9,183.1,183.5,186.779,186.8,189.9,183.1,183.5,186.779,2409100.0,449969320000.0,800000.0,159600000000.0,-3.5,-3.5,-1.8717
VJC,2025-10-31,15:10:03,HOSE,STOCK,195.5,209.1,181.9,194.0,194.2,184.5,187.0,190.319,194.0,194.2,184.5,187.0,190.319,2801200.0,533121310000.0,246400.0,45272660000.0,-8.5,-8.5,-4.3478
VJC,2025-10-30,15:10:05,HOSE,STOCK,195.1,208.7,181.5,195.1,201.2,192.6,195.5,196.088,195.1,201.2,192.6,195.5,196.088,2386700.0,468003120000.0,1698600.0,312920900000.0,0.4,0.4,0.205
VJC,2025-10-29,15:10:03,HOSE,STOCK,187.5,200.6,174.4,189.5,196.5,189.0,195.1,193.965,189.5,196.5,189.0,195.1,193.965,2318200.0,449649700000.0,700000.0,140000000000.0,7.6,7.6,4.0533
VJC,2025-10-28,15:10:05,HOSE,STOCK,175.3,187.5,163.1,174.3,187.5,174.3,187.5,184.129,174.3,187.5,174.3,187.5,184.129,3724300.0,685752340000.0,20000.0,3506000000.0,12.2,12.2,6.9595
VJC,2025-10-27,15:10:02,HOSE,STOCK,180.0,192.6,167.4,183.0,183.0,170.0,175.3,175.708,183.0,183.0,170.0,175.3,175.708,3024700.0,531465010000.0,0.0,0.0,-4.7,-4.7,-2.6111
VJC,2025-10-24,15:10:03,HOSE,STOCK,184.0,196.8,171.2,184.0,184.5,173.5,180.0,179.217,184.0,184.5,173.5,180.0,179.217,3503900.0,627959720000.0,0.0,0.0,-4.0,-4.0,-2.1739
