code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VNM,2025-12-12,15:12:03,HOSE,STOCK,61.5,65.8,57.2,61.7,62.0,60.2,60.2,60.86,61.7,62.0,60.2,60.2,60.86,4396400.0,267563600000.0,50000.0,3290000000.0,-1.3,-1.3,-2.1138
VNM,2025-12-11,15:12:04,HOSE,STOCK,63.1,67.5,58.7,63.0,63.5,61.5,61.5,62.231,63.0,63.5,61.5,61.5,62.231,4852300.0,301965900000.0,50000.0,3375000000.0,-1.6,-1.6,-2.5357
VNM,2025-12-10,15:12:06,HOSE,STOCK,62.5,66.8,58.2,62.4,64.5,62.3,63.1,63.532,62.4,64.5,62.3,63.1,63.532,3470500.0,220486730000.0,26100.0,1658185200.0,0.6,0.6,0.96
VNM,2025-12-09,15:12:03,HOSE,STOCK,63.5,67.9,59.1,63.5,64.1,62.5,62.5,63.191,63.5,64.1,62.5,62.5,63.191,5389200.0,340549730000.0,0.0,0.0,-1.0,-1.0,-1.5748
VNM,2025-12-08,15:12:03,HOSE,STOCK,63.4,67.8,59.0,63.3,64.5,63.2,63.5,63.872,63.3,64.5,63.2,63.5,63.872,3322000.0,212181750000.0,0.0,0.0,0.1,0.1,0.1577
VNM,2025-12-05,15:12:03,HOSE,STOCK,63.4,67.8,59.0,63.6,64.5,63.4,63.4,63.745,63.6,64.5,63.4,63.4,63.745,3598900.0,229410380000.0,40500.0,2389500000.0,0.0,0.0,0.0
VNM,2025-12-04,15:12:03,HOSE,STOCK,64.6,69.1,60.1,65.0,65.1,63.4,63.4,63.985,65.0,65.1,63.4,63.4,63.985,5918000.0,378666170000.0,0.0,0.0,-1.2,-1.2,-1.8576
VNM,2025-12-03,15:12:03,HOSE,STOCK,65.0,69.5,60.5,65.1,65.2,64.0,64.6,64.502,65.1,65.2,64.0,64.6,64.502,5383600.0,347254090000.0,65000.0,3932500000.0,-0.4,-0.4,-0.6154
VNM,2025-12-02,15:12:03,HOSE,STOCK,64.9,69.4,60.4,64.8,65.6,64.5,65.0,65.095,64.8,65.6,64.5,65.0,65.095,6764300.0,440319970000.0,0.0,0.0,0.1,0.1,0.1541
VNM,2025-12-01,15:12:03,HOSE,STOCK,64.0,68.4,59.6,64.3,65.9,64.3,64.9,65.256,64.3,65.9,64.3,64.9,65.256,9107300.0,594304220000.0,0.0,0.0,0.9,0.9,1.4063
VNM,2025-11-28,15:11:04,HOSE,STOCK,62.0,66.3,57.7,62.2,64.5,62.2,64.0,63.907,62.2,64.5,62.2,64.0,63.907,11898300.0,760384040000.0,118000.0,6867600000.0,2.0,2.0,3.2258
VNM,2025-11-27,15:11:04,HOSE,STOCK,62.8,67.1,58.5,63.0,63.4,62.0,62.0,62.766,63.0,63.4,62.0,62.0,62.766,3962300.0,248699570000.0,50008.0,3140468000.0,-0.8,-0.8,-1.2739
VNM,2025-11-26,15:11:02,HOSE,STOCK,61.9,66.2,57.6,62.3,63.2,62.3,62.8,62.679,62.3,63.2,62.3,62.8,62.679,3651000.0,228839390000.0,253003.0,15159772800.0,0.9,0.9,1.454
VNM,2025-11-25,15:11:04,HOSE,STOCK,63.0,67.4,58.6,63.0,63.2,61.9,61.9,62.645,63.0,63.2,61.9,61.9,62.645,4907900.0,307453730000.0,3.0,175800.0,-1.1,-1.1,-1.746
VNM,2025-11-24,15:11:03,HOSE,STOCK,59.9,64.0,55.8,60.1,63.4,60.1,63.0,62.473,60.1,63.4,60.1,63.0,62.473,9900300.0,618506030000.0,274012.0,16504969600.0,3.1,3.1,5.1753
VNM,2025-11-21,15:11:03,HOSE,STOCK,60.7,64.9,56.5,60.3,60.7,59.7,59.9,60.128,60.3,60.7,59.7,59.9,60.128,4191100.0,252004190000.0,5.0,282500.0,-0.8,-0.8,-1.318
VNM,2025-11-20,15:11:03,HOSE,STOCK,60.9,65.1,56.7,61.4,61.6,60.5,60.7,60.909,61.4,61.6,60.5,60.7,60.909,2656100.0,161779950000.0,294005.0,17833283500.0,-0.2,-0.2,-0.3284
