code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VPB,2025-12-12,15:12:03,HOSE,STOCK,28.15,30.1,26.2,28.1,28.2,26.55,26.55,27.415,28.1,28.2,26.55,26.55,27.415,21016800.0,576167695000.0,20540021.0,593500609000.0,-1.6,-1.6,-5.6838
VPB,2025-12-11,15:12:04,HOSE,STOCK,29.0,31.0,27.0,28.95,29.0,28.15,28.15,28.497,28.95,29.0,28.15,28.15,28.497,10971700.0,312658340000.0,7213033.0,214636627750.0,-0.85,-0.85,-2.931
VPB,2025-12-10,15:12:06,HOSE,STOCK,28.75,30.75,26.75,28.75,29.1,28.5,29.0,28.767,28.75,29.1,28.5,29.0,28.767,9284000.0,267076390000.0,3464027.0,100467584200.0,0.25,0.25,0.8696
VPB,2025-12-09,15:12:03,HOSE,STOCK,29.7,31.75,27.65,29.65,29.7,28.4,28.75,28.767,29.65,29.7,28.4,28.75,28.767,25274800.0,727081465000.0,9390028.0,285722370400.0,-0.95,-0.95,-3.1987
VPB,2025-12-08,15:12:03,HOSE,STOCK,29.85,31.9,27.8,29.8,30.25,29.55,29.7,29.842,29.8,30.25,29.55,29.7,29.842,15691000.0,468257350000.0,6950024.0,214784818650.0,-0.15,-0.15,-0.5025
VPB,2025-12-05,15:12:03,HOSE,STOCK,30.25,32.35,28.15,30.25,30.3,29.8,29.85,30.004,30.25,30.3,29.8,29.85,30.004,12515000.0,375496760000.0,5800032.0,167666194900.0,-0.4,-0.4,-1.3223
VPB,2025-12-04,15:12:03,HOSE,STOCK,30.25,32.35,28.15,30.35,30.45,29.9,30.25,30.2,30.35,30.45,29.9,30.25,30.2,16875100.0,509633750000.0,2750037.0,83284257300.0,0.0,0.0,0.0
VPB,2025-12-03,15:12:03,HOSE,STOCK,28.9,30.9,26.9,29.15,30.3,29.0,30.25,29.781,29.15,30.3,29.0,30.25,29.781,30066400.0,895422180000.0,5600032.0,162163411200.0,1.35,1.35,4.6713
VPB,2025-12-02,15:12:03,HOSE,STOCK,29.3,31.35,27.25,29.25,29.25,28.7,28.9,28.928,29.25,29.25,28.7,28.9,28.928,10412200.0,301203400000.0,150021.0,4506414250.0,-0.4,-0.4,-1.3652
VPB,2025-12-01,15:12:03,HOSE,STOCK,29.25,31.25,27.25,29.05,29.55,28.85,29.3,29.241,29.05,29.55,28.85,29.3,29.241,11852800.0,346587445000.0,4271044.0,128578237850.0,0.05,0.05,0.1709
