code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VPI,2025-12-12,15:12:03,HOSE,STOCK,59.4,63.5,55.3,59.1,59.3,57.0,57.1,58.829,59.1,59.3,57.0,57.1,58.829,1756000.0,103304520000.0,2310000.0,136290000000.0,-2.3,-2.3,-3.8721
VPI,2025-12-11,15:12:04,HOSE,STOCK,59.4,63.5,55.3,59.4,59.7,58.3,59.4,58.823,59.4,59.7,58.3,59.4,58.823,1925100.0,113239300000.0,0.0,0.0,0.0,0.0,0.0
VPI,2025-12-10,15:12:07,HOSE,STOCK,58.2,62.2,54.2,58.5,59.4,57.9,59.4,58.536,58.5,59.4,57.9,59.4,58.536,1750500.0,102467060000.0,177000.0,10089000000.0,1.2,1.2,2.0619
VPI,2025-12-09,15:12:04,HOSE,STOCK,58.2,62.2,54.2,58.6,58.7,57.4,58.2,58.084,58.6,58.7,57.4,58.2,58.084,2121600.0,123230930000.0,0.0,0.0,0.0,0.0,0.0
VPI,2025-12-08,15:12:04,HOSE,STOCK,57.5,61.5,53.5,57.5,58.8,57.2,58.2,57.702,57.5,58.8,57.2,58.2,57.702,1605100.0,92617070000.0,177000.0,10089000000.0,0.7,0.7,1.2174
VPI,2025-12-05,15:12:03,HOSE,STOCK,57.0,60.9,53.1,57.0,57.6,56.8,57.5,57.03,57.0,57.6,56.8,57.5,57.03,1296300.0,73928110000.0,0.0,0.0,0.5,0.5,0.8772
VPI,2025-12-04,15:12:03,HOSE,STOCK,55.0,58.8,51.2,55.0,57.1,54.6,57.0,55.406,55.0,57.1,54.6,57.0,55.406,2707700.0,150023750000.0,354000.0,20001000000.0,2.0,2.0,3.6364
VPI,2025-12-03,15:12:04,HOSE,STOCK,55.0,58.8,51.2,54.8,55.4,54.5,55.0,54.907,54.8,55.4,54.5,55.0,54.907,2500000.0,137268720000.0,0.0,0.0,0.0,0.0,0.0
VPI,2025-12-02,15:12:03,HOSE,STOCK,55.1,58.9,51.3,54.7,55.1,54.4,55.0,54.8,54.7,55.1,54.4,55.0,54.8,2589800.0,141922280000.0,0.0,0.0,-0.1,-0.1,-0.1815
VPI,2025-12-01,15:12:03,HOSE,STOCK,55.8,59.7,51.9,55.7,55.8,54.8,55.1,55.392,55.7,55.8,54.8,55.1,55.392,2621100.0,145187650000.0,0.0,0.0,-0.7,-0.7,-1.2545
VPI,2025-11-28,15:11:04,HOSE,STOCK,56.8,60.7,52.9,56.8,57.5,55.6,55.8,56.788,56.8,57.5,55.6,55.8,56.788,4149100.0,235620510000.0,0.0,0.0,-1.0,-1.0,-1.7606
VPI,2025-11-27,15:11:05,HOSE,STOCK,55.8,59.7,51.9,55.4,57.0,54.9,56.8,56.121,55.4,57.0,54.9,56.8,56.121,3280000.0,184076120000.0,0.0,0.0,1.0,1.0,1.7921
VPI,2025-11-26,15:11:03,HOSE,STOCK,55.2,59.0,51.4,55.1,56.2,55.1,55.8,55.556,55.1,56.2,55.1,55.8,55.556,2735600.0,151978260000.0,0.0,0.0,0.6,0.6,1.087
VPI,2025-11-25,15:11:04,HOSE,STOCK,55.0,58.8,51.2,55.0,55.3,54.7,55.2,54.944,55.0,55.3,54.7,55.2,54.944,2162300.0,118805540000.0,0.0,0.0,0.2,0.2,0.3636
VPI,2025-11-24,15:11:04,HOSE,STOCK,54.8,58.6,51.0,54.8,55.3,54.5,55.0,54.889,54.8,55.3,54.5,55.0,54.889,2556000.0,140295820000.0,0.0,0.0,0.2,0.2,0.365
VPI,2025-11-21,15:11:04,HOSE,STOCK,55.3,59.1,51.5,54.7,55.5,53.9,54.8,54.606,54.7,55.5,53.9,54.8,54.606,2573000.0,140500570000.0,0.0,0.0,-0.5,-0.5,-0.9042
VPI,2025-11-20,15:11:03,HOSE,STOCK,54.3,58.1,50.5,54.3,55.5,54.1,55.3,54.695,54.3,55.5,54.1,55.3,54.695,1835500.0,100392990000.0,1700000.0,88400000000.0,1.0,1.0,1.8416
VPI,2025-11-19,15:11:04,HOSE,STOCK,54.3,58.1,50.5,54.0,54.3,54.0,54.3,54.118,54.0,54.3,54.0,54.3,54.118,1777100.0,96172270000.0,0.0,0.0,0.0,0.0,0.0
VPI,2025-11-18,15:11:03,HOSE,STOCK,54.5,58.3,50.7,54.5,55.0,54.0,54.3,54.477,54.5,55.0,54.0,54.3,54.477,2358100.0,128462490000.0,0.0,0.0,-0.2,-0.2,-0.367
VPI,2025-11-17,15:11:03,HOSE,STOCK,54.3,58.1,50.5,54.4,54.8,54.2,54.5,54.447,54.4,54.8,54.2,54.5,54.447,1471200.0,80102450000.0,3543500.0,185485304000.0,0.2,0.2,0.3683
VPI,2025-11-14,15:11:05,HOSE,STOCK,53.9,57.6,50.2,53.9,54.5,52.9,54.3,53.559,53.9,54.5,52.9,54.3,53.559,1719100.0,92072770000.0,1600000.0,83200000000.0,0.4,0.4,0.7421
VPI,2025-11-13,15:11:04,HOSE,STOCK,54.0,57.7,50.3,54.0,54.1,52.7,53.9,53.407,54.0,54.1,52.7,53.9,53.407,1447100.0,77284990000.0,143500.0,7749000000.0,-0.1,-0.1,-0.1852
VPI,2025-11-12,15:11:03,HOSE,STOCK,52.0,55.6,48.4,52.0,54.5,51.9,54.0,52.446,52.0,54.5,51.9,54.0,52.446,1879300.0,98562520000.0,2300833.0,123358189977.0,2.0,2.0,3.8462
VPI,2025-11-11,15:11:04,HOSE,STOCK,53.5,57.2,49.8,53.5,53.5,52.0,52.0,52.683,53.5,53.5,52.0,52.0,52.683,3243100.0,170855480000.0,3352333.0,176045345664.0,-1.5,-1.5,-2.8037
VPI,2025-11-10,15:11:04,HOSE,STOCK,53.0,56.7,49.3,53.4,54.4,52.5,53.5,53.664,53.4,54.4,52.5,53.5,53.664,2146400.0,115183640000.0,3855000.0,202709400000.0,0.5,0.5,0.9434
VPI,2025-11-07,15:11:03,HOSE,STOCK,53.0,56.7,49.3,53.0,54.1,52.4,53.0,52.916,53.0,54.1,52.4,53.0,52.916,2760400.0,146070030000.0,1819000.0,98226000000.0,0.0,0.0,0.0
VPI,2025-11-06,15:11:03,HOSE,STOCK,54.1,57.8,50.4,53.8,54.2,50.9,53.0,52.548,53.8,54.2,50.9,53.0,52.548,3661900.0,192425770000.0,90000.0,4860000000.0,-1.1,-1.1,-2.0333
VPI,2025-11-05,15:11:02,HOSE,STOCK,56.0,59.9,52.1,56.0,56.1,53.8,54.1,54.882,56.0,56.1,53.8,54.1,54.882,1455700.0,79891530000.0,0.0,0.0,-1.9,-1.9,-3.3929
VPI,2025-11-04,15:11:04,HOSE,STOCK,55.5,59.3,51.7,55.5,56.1,53.8,56.0,55.193,55.5,56.1,53.8,56.0,55.193,1682100.0,92840640000.0,90000.0,4860000000.0,0.5,0.5,0.9009
VPI,2025-11-03,15:11:03,HOSE,STOCK,56.0,59.9,52.1,56.1,56.5,55.3,55.5,56.08,56.1,56.5,55.3,55.5,56.08,1350300.0,75724800000.0,0.0,0.0,-0.5,-0.5,-0.8929
VPI,2025-10-31,15:10:03,HOSE,STOCK,56.3,60.2,52.4,56.3,57.0,55.9,56.0,56.264,56.3,57.0,55.9,56.0,56.264,1668400.0,93870370000.0,0.0,0.0,-0.3,-0.3,-0.5329
