code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VRE,2025-12-12,15:12:03,HOSE,STOCK,29.5,31.55,27.45,30.0,30.05,27.45,27.45,28.535,30.0,30.05,27.45,27.45,28.535,14302200.0,408116625000.0,340000.0,9623420000.0,-2.05,-2.05,-6.9492
VRE,2025-12-11,15:12:04,HOSE,STOCK,30.0,32.1,27.9,30.1,30.7,29.5,29.5,29.862,30.1,30.7,29.5,29.5,29.862,8031400.0,239836215000.0,400000.0,11918800000.0,-0.5,-0.5,-1.6667
VRE,2025-12-10,15:12:06,HOSE,STOCK,32.0,34.2,29.8,31.9,32.0,30.0,30.0,30.866,31.9,32.0,30.0,30.0,30.866,13287200.0,410120070000.0,0.0,0.0,-2.0,-2.0,-6.25
VRE,2025-12-09,15:12:03,HOSE,STOCK,32.95,35.25,30.65,32.95,33.4,31.3,32.0,32.279,32.95,33.4,31.3,32.0,32.279,11236500.0,362700235000.0,200000.0,6416600000.0,-0.95,-0.95,-2.8832
VRE,2025-12-08,15:12:03,HOSE,STOCK,33.8,36.15,31.45,33.8,34.05,32.8,32.95,33.236,33.8,34.05,32.8,32.95,33.236,7479300.0,248581955000.0,0.0,0.0,-0.85,-0.85,-2.5148
VRE,2025-12-05,15:12:03,HOSE,STOCK,34.4,36.8,32.0,34.4,34.9,33.75,33.8,34.063,34.4,34.9,33.75,33.8,34.063,7428400.0,253030485000.0,0.0,0.0,-0.6,-0.6,-1.7442
VRE,2025-12-04,15:12:03,HOSE,STOCK,34.5,36.9,32.1,34.2,34.45,33.8,34.4,34.067,34.2,34.45,33.8,34.4,34.067,6232200.0,212309370000.0,390000.0,13317330000.0,-0.1,-0.1,-0.2899
VRE,2025-12-03,15:12:03,HOSE,STOCK,34.9,37.3,32.5,34.85,34.85,33.85,34.5,34.277,34.85,34.85,33.85,34.5,34.277,7974700.0,273345425000.0,160000.0,5491520000.0,-0.4,-0.4,-1.1461
VRE,2025-12-02,15:12:03,HOSE,STOCK,34.9,37.3,32.5,34.9,34.9,33.6,34.9,34.136,34.9,34.9,33.6,34.9,34.136,10035200.0,342558280000.0,200000.0,6798000000.0,0.0,0.0,0.0
VRE,2025-12-01,15:12:03,HOSE,STOCK,34.25,36.6,31.9,34.6,35.7,34.4,34.9,34.906,34.6,35.7,34.4,34.9,34.906,11792100.0,411619395000.0,2100000.0,73382800000.0,0.65,0.65,1.8978
VRE,2025-11-28,15:11:04,HOSE,STOCK,33.65,36.0,31.3,33.65,34.25,33.15,34.25,33.695,33.65,34.25,33.15,34.25,33.695,9244100.0,311480630000.0,298000.0,10044090000.0,0.6,0.6,1.7831
VRE,2025-11-27,15:11:04,HOSE,STOCK,33.85,36.2,31.5,34.1,34.9,33.65,33.65,34.038,34.1,34.9,33.65,33.65,34.038,7224500.0,245905995000.0,905000.0,30758225000.0,-0.2,-0.2,-0.5908
VRE,2025-11-26,15:11:02,HOSE,STOCK,33.4,35.7,31.1,33.5,34.4,33.35,33.85,33.8,33.5,34.4,33.35,33.85,33.8,7893300.0,266793085000.0,624200.0,21072992000.0,0.45,0.45,1.3473
VRE,2025-11-25,15:11:04,HOSE,STOCK,34.45,36.85,32.05,35.4,35.4,33.3,33.4,34.494,35.4,35.4,33.3,33.4,34.494,12123000.0,418173635000.0,0.0,0.0,-1.05,-1.05,-3.0479
VRE,2025-11-24,15:11:03,HOSE,STOCK,32.2,34.45,29.95,32.3,34.45,32.25,34.45,33.848,32.3,34.45,32.25,34.45,33.848,26444000.0,895074910000.0,0.0,0.0,2.25,2.25,6.9876
VRE,2025-11-21,15:11:03,HOSE,STOCK,32.0,34.2,29.8,31.8,32.3,31.5,32.2,31.939,31.8,32.3,31.5,32.2,31.939,5864200.0,187294625000.0,330000.0,10539210000.0,0.2,0.2,0.625
VRE,2025-11-20,15:11:03,HOSE,STOCK,31.6,33.8,29.4,31.75,32.45,31.7,32.0,32.067,31.75,32.45,31.7,32.0,32.067,5225000.0,167550195000.0,170000.0,5452240000.0,0.4,0.4,1.2658
VRE,2025-11-19,15:11:03,HOSE,STOCK,32.35,34.6,30.1,32.3,32.3,31.55,31.6,31.851,32.3,32.3,31.55,31.6,31.851,6884500.0,219277745000.0,0.0,0.0,-0.75,-0.75,-2.3184
VRE,2025-11-18,15:11:03,HOSE,STOCK,32.2,34.45,29.95,32.2,32.5,32.05,32.35,32.241,32.2,32.5,32.05,32.35,32.241,5069300.0,163438050000.0,0.0,0.0,0.15,0.15,0.4658
VRE,2025-11-17,15:11:03,HOSE,STOCK,32.1,34.3,29.9,32.25,33.05,32.05,32.2,32.377,32.25,33.05,32.05,32.2,32.377,7528900.0,243762705000.0,0.0,0.0,0.1,0.1,0.3115
VRE,2025-11-14,15:11:04,HOSE,STOCK,31.95,34.15,29.75,31.65,32.1,31.55,32.1,31.885,31.65,32.1,31.55,32.1,31.885,5608700.0,178831500000.0,0.0,0.0,0.15,0.15,0.4695
VRE,2025-11-13,15:11:04,HOSE,STOCK,32.8,35.05,30.55,32.7,32.7,31.8,31.95,32.125,32.7,32.7,31.8,31.95,32.125,5900500.0,189551195000.0,0.0,0.0,-0.85,-0.85,-2.5915
VRE,2025-11-12,15:11:02,HOSE,STOCK,31.05,33.2,28.9,31.25,32.85,31.1,32.8,32.074,31.25,32.85,31.1,32.8,32.074,8248200.0,264555235000.0,0.0,0.0,1.75,1.75,5.6361
VRE,2025-11-11,15:11:04,HOSE,STOCK,29.8,31.85,27.75,29.8,31.45,29.75,31.05,30.811,29.8,31.45,29.75,31.05,30.811,10444200.0,321797615000.0,0.0,0.0,1.25,1.25,4.1946
VRE,2025-11-10,15:11:03,HOSE,STOCK,31.35,33.5,29.2,31.3,31.3,29.8,29.8,30.584,31.3,31.3,29.8,29.8,30.584,8905300.0,272359030000.0,0.0,0.0,-1.55,-1.55,-4.9442
VRE,2025-11-07,15:11:03,HOSE,STOCK,32.0,34.2,29.8,31.8,31.85,30.2,31.35,31.265,31.8,31.85,30.2,31.35,31.265,14429600.0,451134345000.0,0.0,0.0,-0.65,-0.65,-2.0313
VRE,2025-11-06,15:11:03,HOSE,STOCK,32.5,34.75,30.25,32.0,32.55,31.8,32.0,32.076,32.0,32.55,31.8,32.0,32.076,8062400.0,258613215000.0,0.0,0.0,-0.5,-0.5,-1.5385
VRE,2025-11-05,15:11:02,HOSE,STOCK,33.5,35.8,31.2,33.2,33.3,32.2,32.5,32.589,33.2,33.3,32.2,32.5,32.589,8660900.0,282252015000.0,0.0,0.0,-1.0,-1.0,-2.9851
VRE,2025-11-04,15:11:03,HOSE,STOCK,31.35,33.5,29.2,31.35,33.5,31.35,33.5,32.298,31.35,33.5,31.35,33.5,32.298,11076100.0,357741230000.0,163000.0,5435025000.0,2.15,2.15,6.8581
VRE,2025-11-03,15:11:03,HOSE,STOCK,33.3,35.6,31.0,33.25,33.8,31.35,31.35,32.311,33.25,33.8,31.35,31.35,32.311,16286200.0,526229840000.0,215400.0,6950096400.0,-1.95,-1.95,-5.8559
VRE,2025-10-31,15:10:03,HOSE,STOCK,34.6,37.0,32.2,34.1,34.3,32.9,33.3,33.425,34.1,34.3,32.9,33.3,33.425,15108600.0,505004670000.0,1303000.0,44200270000.0,-1.3,-1.3,-3.7572
VRE,2025-10-30,15:10:05,HOSE,STOCK,35.95,38.45,33.45,35.95,35.95,34.1,34.6,34.647,35.95,35.95,34.1,34.6,34.647,9832700.0,340676765000.0,23000.0,819950000.0,-1.35,-1.35,-3.7552
VRE,2025-10-29,15:10:03,HOSE,STOCK,36.8,39.35,34.25,37.1,37.1,35.05,35.95,35.931,37.1,37.1,35.05,35.95,35.931,8951300.0,321633440000.0,0.0,0.0,-0.85,-0.85,-2.3098
VRE,2025-10-28,15:10:04,HOSE,STOCK,36.1,38.6,33.6,34.75,37.0,33.6,36.8,34.537,34.75,37.0,33.6,36.8,34.537,28526100.0,985217445000.0,0.0,0.0,0.7,0.7,1.9391
VRE,2025-10-27,15:10:02,HOSE,STOCK,38.8,41.5,36.1,39.0,39.75,36.1,36.1,37.549,39.0,39.75,36.1,36.1,37.549,12570400.0,472002460000.0,0.0,0.0,-2.7,-2.7,-6.9588
VRE,2025-10-24,15:10:03,HOSE,STOCK,39.4,42.15,36.65,39.2,39.8,38.1,38.8,38.934,39.2,39.8,38.1,38.8,38.934,9011700.0,350864670000.0,0.0,0.0,-0.6,-0.6,-1.5228
VRE,2025-10-23,15:10:02,HOSE,STOCK,39.0,41.7,36.3,38.9,39.95,37.6,39.4,38.984,38.9,39.95,37.6,39.4,38.984,10632500.0,414495390000.0,800000.0,31365600000.0,0.4,0.4,1.0256
VRE,2025-10-22,15:10:02,HOSE,STOCK,38.8,41.5,36.1,39.4,39.4,36.35,39.0,37.594,39.4,39.4,36.35,39.0,37.594,14611500.0,549301565000.0,180000.0,6756300000.0,0.2,0.2,0.5155
VRE,2025-10-21,15:10:03,HOSE,STOCK,38.15,40.8,35.5,38.05,39.45,36.55,38.8,38.348,38.05,39.45,36.55,38.8,38.348,17634200.0,676236200000.0,0.0,0.0,0.65,0.65,1.7038
VRE,2025-10-20,15:10:03,HOSE,STOCK,41.0,43.85,38.15,39.5,41.3,38.15,38.15,39.656,39.5,41.3,38.15,38.15,39.656,18979900.0,752662750000.0,0.0,0.0,-2.85,-2.85,-6.9512
VRE,2025-10-17,15:10:03,HOSE,STOCK,43.4,46.4,40.4,43.5,43.55,40.8,41.0,41.859,43.5,43.55,40.8,41.0,41.859,20871000.0,873635980000.0,0.0,0.0,-2.4,-2.4,-5.53
VRE,2025-10-16,15:10:02,HOSE,STOCK,41.9,44.8,39.0,42.2,43.5,41.0,43.4,42.642,42.2,43.5,41.0,43.4,42.642,17983400.0,766842900000.0,30000.0,1344000000.0,1.5,1.5,3.58
VRE,2025-10-15,15:10:02,HOSE,STOCK,42.75,45.7,39.8,42.65,43.05,41.05,41.9,41.91,42.65,43.05,41.05,41.9,41.91,19684200.0,824963815000.0,1083200.0,45325912000.0,-0.85,-0.85,-1.9883
VRE,2025-10-14,15:10:03,HOSE,STOCK,43.0,46.0,40.0,44.1,45.2,42.7,42.75,43.7,44.1,45.2,42.7,42.75,43.7,32089100.0,1402306520000.0,679000.0,29256670000.0,-0.25,-0.25,-0.5814
VRE,2025-10-13,15:10:02,HOSE,STOCK,40.35,43.15,37.55,40.4,43.0,40.35,43.0,41.658,40.4,43.0,40.35,43.0,41.658,27893300.0,1161967575000.0,364600.0,15216216400.0,2.65,2.65,6.5675
VRE,2025-10-10,15:10:03,HOSE,STOCK,38.0,40.65,35.35,38.0,40.4,37.5,40.35,38.586,38.0,40.4,37.5,40.35,38.586,20025400.0,772708500000.0,0.0,0.0,2.35,2.35,6.1842
VRE,2025-10-09,15:10:03,HOSE,STOCK,36.3,38.8,33.8,36.5,38.8,36.1,38.0,37.955,36.5,38.8,36.1,38.0,37.955,25692700.0,975173840000.0,520000.0,20126000000.0,1.7,1.7,4.6832
VRE,2025-10-08,15:10:03,HOSE,STOCK,35.0,37.45,32.55,35.3,36.45,34.15,36.3,35.347,35.3,36.45,34.15,36.3,35.347,17296100.0,611357485000.0,150000.0,5285000000.0,1.3,1.3,3.7143
VRE,2025-10-07,15:10:03,HOSE,STOCK,35.0,37.45,32.55,36.0,36.6,35.0,35.0,35.794,36.0,36.6,35.0,35.0,35.794,12556500.0,449444295000.0,250000.0,8895750000.0,0.0,0.0,0.0
VRE,2025-10-06,15:10:03,HOSE,STOCK,32.75,35.0,30.5,34.5,35.0,33.3,35.0,34.886,34.5,35.0,33.3,35.0,34.886,16082700.0,561061800000.0,0.0,0.0,2.25,2.25,6.8702
VRE,2025-10-03,15:10:03,HOSE,STOCK,31.75,33.95,29.55,31.75,33.9,30.6,32.75,32.111,31.75,33.9,30.6,32.75,32.111,11848400.0,380466755000.0,0.0,0.0,1.0,1.0,3.1496
VRE,2025-10-02,15:10:03,HOSE,STOCK,33.15,35.45,30.85,33.2,33.5,31.75,31.75,32.458,33.2,33.5,31.75,31.75,32.458,6929900.0,224933070000.0,0.0,0.0,-1.4,-1.4,-4.2232
VRE,2025-10-01,15:10:02,HOSE,STOCK,32.1,34.3,29.9,32.5,34.3,32.5,33.15,33.757,32.5,34.3,32.5,33.15,33.757,11521500.0,388935960000.0,0.0,0.0,1.05,1.05,3.271
VRE,2025-09-30,15:09:02,HOSE,STOCK,30.0,32.1,27.9,30.4,32.1,30.3,32.1,31.844,30.4,32.1,30.3,32.1,31.844,17459400.0,555977265000.0,708000.0,22588976000.0,2.1,2.1,7.0
VRE,2025-09-29,15:09:03,HOSE,STOCK,29.4,31.45,27.35,29.1,30.05,28.8,30.0,29.776,29.1,30.05,28.8,30.0,29.776,4493600.0,133803305000.0,116400.0,3485248800.0,0.6,0.6,2.0408
VRE,2025-09-26,15:09:03,HOSE,STOCK,29.4,31.45,27.35,29.45,29.45,28.8,29.4,29.223,29.45,29.45,28.8,29.4,29.223,3372100.0,98543820000.0,0.0,0.0,0.0,0.0,0.0
