code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
VTP,2025-12-12,15:12:03,HOSE,STOCK,97.0,103.7,90.3,96.8,100.1,96.2,96.8,98.093,96.8,100.1,96.2,96.8,98.093,378700.0,37147930000.0,0.0,0.0,-0.2,-0.2,-0.2062
VTP,2025-12-11,15:12:04,HOSE,STOCK,96.7,103.4,90.0,95.7,97.6,95.7,97.0,96.859,95.7,97.6,95.7,97.0,96.859,225400.0,21832070000.0,0.0,0.0,0.3,0.3,0.3102
VTP,2025-12-10,15:12:06,HOSE,STOCK,96.8,103.5,90.1,96.8,98.0,96.7,96.7,97.019,96.8,98.0,96.7,96.7,97.019,171700.0,16658080000.0,0.0,0.0,-0.1,-0.1,-0.1033
VTP,2025-12-09,15:12:03,HOSE,STOCK,97.9,104.7,91.1,98.2,98.3,95.3,96.8,96.372,98.2,98.3,95.3,96.8,96.372,626800.0,60405760000.0,0.0,0.0,-1.1,-1.1,-1.1236
VTP,2025-12-08,15:12:03,HOSE,STOCK,99.3,106.2,92.4,99.4,100.3,97.7,97.9,98.541,99.4,100.3,97.7,97.9,98.541,394400.0,38864500000.0,0.0,0.0,-1.4,-1.4,-1.4099
VTP,2025-12-05,15:12:03,HOSE,STOCK,100.8,107.8,93.8,100.8,101.7,99.0,99.3,99.901,100.8,101.7,99.0,99.3,99.901,443100.0,44265920000.0,0.0,0.0,-1.5,-1.5,-1.4881
VTP,2025-12-04,15:12:03,HOSE,STOCK,100.8,107.8,93.8,101.1,102.2,100.5,100.8,101.304,101.1,102.2,100.5,100.8,101.304,308100.0,31211880000.0,0.0,0.0,0.0,0.0,0.0
VTP,2025-12-03,15:12:03,HOSE,STOCK,99.8,106.7,92.9,100.0,102.5,100.0,100.8,100.922,100.0,102.5,100.0,100.8,100.922,267300.0,26976350000.0,0.0,0.0,1.0,1.0,1.002
VTP,2025-12-02,15:12:03,HOSE,STOCK,101.6,108.7,94.5,101.2,102.0,99.5,99.8,99.922,101.2,102.0,99.5,99.8,99.922,268000.0,26779210000.0,218000.0,23108000000.0,-1.8,-1.8,-1.7717
VTP,2025-12-01,15:12:03,HOSE,STOCK,99.0,105.9,92.1,99.0,102.6,98.7,101.6,100.908,99.0,102.6,98.7,101.6,100.908,398200.0,40181390000.0,0.0,0.0,2.6,2.6,2.6263
VTP,2025-11-28,15:11:04,HOSE,STOCK,99.8,106.7,92.9,99.8,100.4,98.0,99.0,99.27,99.8,100.4,98.0,99.0,99.27,417400.0,41435240000.0,123000.0,12484500000.0,-0.8,-0.8,-0.8016
VTP,2025-11-27,15:11:04,HOSE,STOCK,100.4,107.4,93.4,101.6,101.7,99.7,99.8,100.374,101.6,101.7,99.7,99.8,100.374,252800.0,25374540000.0,276000.0,28980000000.0,-0.6,-0.6,-0.5976
VTP,2025-11-26,15:11:02,HOSE,STOCK,99.6,106.5,92.7,99.6,101.2,99.5,100.4,100.15,99.6,101.2,99.5,100.4,100.15,392500.0,39308730000.0,0.0,0.0,0.8,0.8,0.8032
VTP,2025-11-25,15:11:04,HOSE,STOCK,102.8,109.9,95.7,102.7,103.0,99.6,99.6,101.259,102.7,103.0,99.6,99.6,101.259,676900.0,68542180000.0,39500.0,3780150000.0,-3.2,-3.2,-3.1128
VTP,2025-11-24,15:11:03,HOSE,STOCK,104.0,111.2,96.8,104.0,105.0,102.6,102.8,103.012,104.0,105.0,102.6,102.8,103.012,379000.0,39041500000.0,0.0,0.0,-1.2,-1.2,-1.1538
VTP,2025-11-21,15:11:03,HOSE,STOCK,104.8,112.1,97.5,104.0,104.4,102.0,104.0,102.784,104.0,104.4,102.0,104.0,102.784,837200.0,86050520000.0,0.0,0.0,-0.8,-0.8,-0.7634
VTP,2025-11-20,15:11:03,HOSE,STOCK,107.0,114.4,99.6,107.0,107.5,104.5,104.8,105.439,107.0,107.5,104.5,104.8,105.439,452400.0,47700460000.0,0.0,0.0,-2.2,-2.2,-2.0561
VTP,2025-11-19,15:11:03,HOSE,STOCK,108.8,116.4,101.2,109.0,109.8,105.2,107.0,106.869,109.0,109.8,105.2,107.0,106.869,424500.0,45365810000.0,0.0,0.0,-1.8,-1.8,-1.6544
VTP,2025-11-18,15:11:03,HOSE,STOCK,104.8,112.1,97.5,104.6,111.0,104.0,108.8,108.028,104.6,111.0,104.0,108.8,108.028,942900.0,101859590000.0,0.0,0.0,4.0,4.0,3.8168
VTP,2025-11-17,15:11:03,HOSE,STOCK,106.3,113.7,98.9,107.0,107.2,104.2,104.8,105.131,107.0,107.2,104.2,104.8,105.131,503300.0,52912630000.0,0.0,0.0,-1.5,-1.5,-1.4111
VTP,2025-11-14,15:11:04,HOSE,STOCK,106.3,113.7,98.9,106.0,107.5,105.1,106.3,106.46,106.0,107.5,105.1,106.3,106.46,430900.0,45873800000.0,0.0,0.0,0.0,0.0,0.0
VTP,2025-11-13,15:11:04,HOSE,STOCK,105.5,112.8,98.2,106.1,107.5,104.9,106.3,106.331,106.1,107.5,104.9,106.3,106.331,493400.0,52463830000.0,0.0,0.0,0.8,0.8,0.7583
VTP,2025-11-12,15:11:02,HOSE,STOCK,103.4,110.6,96.2,103.4,105.5,103.0,105.5,104.086,103.4,105.5,103.0,105.5,104.086,404200.0,42071740000.0,0.0,0.0,2.1,2.1,2.0309
VTP,2025-11-11,15:11:04,HOSE,STOCK,102.2,109.3,95.1,105.5,105.5,101.5,103.4,102.541,105.5,105.5,101.5,103.4,102.541,422800.0,43354530000.0,225800.0,23709000000.0,1.2,1.2,1.1742
VTP,2025-11-10,15:11:03,HOSE,STOCK,105.0,112.3,97.7,105.7,106.4,102.2,102.2,104.026,105.7,106.4,102.2,102.2,104.026,596900.0,62093270000.0,0.0,0.0,-2.8,-2.8,-2.6667
VTP,2025-11-07,15:11:03,HOSE,STOCK,106.6,114.0,99.2,106.6,109.1,104.5,105.0,107.112,106.6,109.1,104.5,105.0,107.112,1014100.0,108621870000.0,0.0,0.0,-1.6,-1.6,-1.5009
VTP,2025-11-06,15:11:03,HOSE,STOCK,110.0,117.7,102.3,111.7,111.7,106.6,106.6,107.804,111.7,111.7,106.6,106.6,107.804,717100.0,77305930000.0,0.0,0.0,-3.4,-3.4,-3.0909
